"Canonical URL","RSD Name","Authors","Skill Statement","Categories","Keywords","Standards","Certifications","Occupation Major Groups","Occupation Minor Groups","Broad Occupations","Detailed Occupations","O*Net Job Codes","Employers","Alignment Name","Alignment URL","Alignment Framework"
"https://osmt.wgu.edu/api/skills/e703c2bc-ac14-441f-aeeb-6a014c054bdd","Responsibility for One's Behavior","Western Governors University","Take responsibility for one's ethical and unethical behavior.","Business Ethics","Business Ethics; Being; Business_Ethics; Professional_Ethics; WGUSID: 5","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS","","11-0000; 13-0000; 15-0000; 19-0000","11-3000; 13-1000; 13-2000; 15-1200","11-3030; 13-1110; 13-1160; 13-2010; 13-2040; 15-1210","11-3031; 13-1111; 13-1161; 13-2011; 13-2041","","","Business Ethics","https://skills.emsidata.com/skills/KS1218P66BGK5X5JGKLF",""
"https://osmt.wgu.edu/api/skills/da13ebb3-5e32-4b01-97d2-ebf179d258a2","Strategic Planning Framework Phases Application","Western Governors University","Apply strategic planning frameworks that include basic phases.","Strategic Planning","Business_Ethics; Professional_Ethics; Doing; Strategic Planning","NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_SPP; NICE_OV_EXL","","11-0000; 13-0000; 15-0000; 19-0000; 33-0000; 37-0000; 39-0000","11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 13-2000; 33-1000","11-1010; 11-1020; 11-2020; 11-3010; 11-3030; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 13-1160; 13-2010; 13-2040; 33-1010","11-1011; 11-1021; 11-2022; 11-3031; 11-3051; 11-3071; 11-9021; 11-9151; 11-9198; 13-1051; 13-1071; 13-1111; 13-1161; 13-2011; 13-2041","","","Strategic Planning","https://skills.emsidata.com/skills/KS1219261TYVPMGX8KVQ",""
"https://osmt.wgu.edu/api/skills/cb1c04b1-75f6-4b5f-a93b-4b04846f3973","Policies and Procedures Assessment","Western Governors University","Assess an organization's policies and procedures for strengths and weaknesses.","Business Ethics","Business Ethics; Business_Ethics; Professional_Ethics; Thinking; WGUSID: 734","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS","","11-0000; 13-0000; 15-0000; 19-0000","11-3000; 13-1000; 13-2000; 15-1200; 15-2000; 19-3000; 19-4000","11-3030; 13-1020; 13-1110; 13-1160; 13-2010; 13-2040; 15-1210; 15-2040; 19-3010; 19-4060","11-3031; 13-1021; 13-1022; 13-1023; 13-1111; 13-1161; 13-2011; 13-2041; 15-1212; 15-2041; 19-3011; 19-4061","","","Business Ethics","https://skills.emsidata.com/skills/KS1218P66BGK5X5JGKLF",""
"https://osmt.wgu.edu/api/skills/7927337b-4b30-4de8-9393-becd4aeac5f8","Strategic Planning Workshop Leadership","Western Governors University","Lead strategic planning workshops that result in well-designed and executed plans.","Strategic Planning","Business_Ethics; Professional_Ethics; Doing; Strategic Planning; WGUSID: 766","NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_SPP; NICE_OV_EXL","","11-0000; 13-0000; 15-0000; 19-0000; 33-0000; 37-0000; 39-0000","11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 13-2000; 33-1000","11-1010; 11-1020; 11-2020; 11-3010; 11-3030; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 13-1160; 13-2010; 13-2040; 33-1010","11-1011; 11-1021; 11-2022; 11-3031; 11-3051; 11-3071; 11-9021; 11-9151; 11-9198; 13-1051; 13-1071; 13-1111; 13-1161; 13-2011; 13-2041","","","Strategic Planning","https://skills.emsidata.com/skills/KS1219261TYVPMGX8KVQ",""
"https://osmt.wgu.edu/api/skills/de1ed4d0-78ce-4072-917b-1d35c41e37e0","New Technology Implementation","Western Governors University","Implement new technology for resolving business challenges.","Innovation","Business_Ethics; Professional_Ethics; Doing; Innovation; WGUSID: 770","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_PR_INF","","11-0000; 13-0000; 15-0000; 19-0000; 33-0000; 37-0000; 39-0000","11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 13-2000","11-1010; 11-1020; 11-2020; 11-3010; 11-3030; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 13-1160; 13-2010; 13-2040","11-1011; 11-1021; 11-2022; 11-3031; 11-3051; 11-3071; 11-9021; 11-9151; 11-9198; 13-1051; 13-1071; 13-1111; 13-1161; 13-2011; 13-2041","","","Innovation","https://skills.emsidata.com/skills/KS1253H61TTR1FZWSRH4",""
"https://osmt.wgu.edu/api/skills/a3d914ee-15a0-4e1c-80ae-4230eb7da64e","Social Media Channel Management","Western Governors University","Manage a corporate social media channel.","Social Media","Business Ethics; Business_Ethics; Professional_Ethics; Communications; Doing; Management","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_AN_LNG","","11-0000; 13-0000; 15-0000; 19-0000; 37-0000; 39-0000","11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 13-2000","11-1010; 11-1020; 11-2020; 11-3010; 11-3030; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 13-1160; 13-2010; 13-2040","11-1011; 11-1021; 11-2022; 11-3031; 11-3051; 11-3071; 11-9021; 11-9151; 11-9198; 13-1051; 13-1071; 13-1111; 13-1161; 13-2011; 13-2041","","","Social Media","https://lightcast.io/open-skills/skills/KS440PV6FRJ90X0QFNLY/social-media",""
"https://osmt.wgu.edu/api/skills/4d8fbb51-f851-49c2-acf4-8366b0f0b3e1","Social Media Post Scheduling","Western Governors University","Schedule corporate social media posts.","Social Media","Business Ethics; Business_Ethics; Professional_Ethics; Communications; Doing","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA","","11-0000; 13-0000; 15-0000; 19-0000; 33-0000; 37-0000; 39-0000","11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 13-2000","11-1010; 11-1020; 11-2020; 11-3010; 11-3030; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 13-1160; 13-2010; 13-2040","11-1011; 11-1021; 11-2022; 11-3031; 11-3051; 11-3071; 11-9021; 11-9151; 11-9198; 13-1051; 13-1071; 13-1111; 13-1161; 13-2011; 13-2041","","","Social Media","https://lightcast.io/open-skills/skills/KS440PV6FRJ90X0QFNLY/social-media",""
"https://osmt.wgu.edu/api/skills/d637c558-1a24-4752-8b92-332cccdfc1b9","Moderate Social Media Conversation","Western Governors University","Moderate conversations on corporate social media channels.","Communications","Business Ethics; Business_Ethics; Professional_Ethics; Communications; Doing; WGUSID: 784.1","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_AN_LNG; NICE_OV_EXL","","11-0000; 13-0000; 15-0000; 19-0000; 37-0000; 39-0000","11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 13-2000","11-1010; 11-1020; 11-2020; 11-3010; 11-3030; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 13-1160; 13-2010; 13-2040","11-1011; 11-1021; 11-2022; 11-3031; 11-3051; 11-3071; 11-9021; 11-9151; 11-9198; 13-1051; 13-1071; 13-1111; 13-1161; 13-2011; 13-2041","","","Communications","https://skills.emsidata.com/skills/KS122556LMQ829GZCCRV",""
"https://osmt.wgu.edu/api/skills/9b149e09-d57f-479f-b8b8-c0419d43958e","Ethical Violation Investigation","Western Governors University","Investigate reported violations of an organization's ethical code of conduct.","Business Ethics","Business Ethics; Business_Ethics; Professional_Ethics; Thinking; WGUSID: 1215","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS","","11-0000; 13-0000; 15-0000; 19-0000","11-3000; 13-1000; 13-2000","11-3030; 13-1070; 13-1110; 13-1160; 13-2010; 13-2040","11-3031; 13-1071; 13-1111; 13-1161; 13-2011; 13-2041","","","Business Ethics","https://skills.emsidata.com/skills/KS1218P66BGK5X5JGKLF",""
"https://osmt.wgu.edu/api/skills/611b4f38-9660-4c00-b2b0-526c40093fe0","Governing Bodies Collaboration","Western Governors University","Collaborate with organizational governing bodies to learn about company ethics policies and procedures.","Business Ethics","Business Ethics; Business_Ethics; Professional_Ethics; Thinking; Collaboration; WGUSID: 1268","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS","","11-0000; 13-0000; 15-0000; 19-0000","11-3000; 13-1000; 13-2000; 15-1200","11-3030; 13-1110; 13-1160; 13-2010; 15-1210","11-3031; 13-1111; 13-1161; 13-2011","","","Business Ethics","https://skills.emsidata.com/skills/KS1218P66BGK5X5JGKLF",""
