"Canonical URL","RSD Name","Authors","Skill Statement","Categories","Keywords","Standards","Certifications","Occupation Major Groups","Occupation Minor Groups","Broad Occupations","Detailed Occupations","O*Net Job Codes","Employers","Alignment Name","Alignment URL","Alignment Framework"
"https://osmt.wgu.edu/api/skills/e703c2bc-ac14-441f-aeeb-6a014c054bdd","Responsibility for One's Behavior","Western Governors University","Take responsibility for one's ethical and unethical behavior.","Business Ethics","Business Ethics; Being; Business_Ethics; Professional_Ethics; WGUSID: 5","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS","","11-0000; 13-0000; 15-0000; 19-0000","11-3000; 13-1000; 13-2000; 15-1200","11-3030; 13-1110; 13-1160; 13-2010; 13-2040; 15-1210","11-3031; 13-1111; 13-1161; 13-2011; 13-2041","","","Business Ethics","https://skills.emsidata.com/skills/KS1218P66BGK5X5JGKLF",""
"https://osmt.wgu.edu/api/skills/e50fb44e-9a8b-4049-8681-14b4b5f07be3","Contextual Analysis","Western Governors University","Analyze a wide range of business contexts for ethical issues.","Business Ethics","Business Ethics; Professional_Ethics; Analysis; Analytical Techniques; Thinking; WGUSID: 172","ISTE_EdLeaders_5a; InTASC_3a; InTASC_3d; InTASC_3g; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_5i; InTASC_6p; InTASC_8n","","11-0000; 13-0000; 15-0000; 25-0000; 37-0000; 39-0000","11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 15-1200; 15-2000; 25-1000; 25-2000; 25-4000; 25-9000; 37-1000; 39-1000","11-1010; 11-1020; 11-2020; 11-3010; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 15-1210; 15-1240; 15-1250; 15-2030; 25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9010; 25-9030; 25-9090; 37-1010; 39-1010; 39-1020","11-1011; 11-1021; 11-2022; 11-3012; 11-3051; 11-3071; 11-9021; 11-9151; 11-9199; 13-1051; 13-1071; 13-1111; 15-1212; 15-1244; 15-1251; 15-1252; 15-1253; 15-1254; 15-1255; 15-2031; 25-1021; 25-1022; 25-1041; 25-1042; 25-1043; 25-1051; 25-1052; 25-1053; 25-1054; 25-1081; 25-1082; 25-2021; 25-2022; 25-2023; 25-2031; 25-2032; 25-2051; 25-2055; 25-2056; 25-2057; 25-2058; 25-2059; 25-4022; 25-9011; 25-9031; 25-9099; 37-1011; 39-1011; 39-1022","","","Business Ethics","https://skills.emsidata.com/skills/KS1218P66BGK5X5JGKLF",""
"https://osmt.wgu.edu/api/skills/2c83604e-d247-428d-89b6-88d1ae3008ae","Business Ethics Strategies Analysis","Western Governors University","Analyze business contexts for strategies to navigate ethical issues.","Business Ethics","Business Ethics; Professional_Ethics; Analysis; Analytical Techniques; Thinking; WGUSID: 172.1","ISTE_EdLeaders_5a; InTASC_3a; InTASC_3d; InTASC_3g; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_5i; InTASC_6p; InTASC_8n; ISTE_EdLeaders_2c","","11-0000; 13-0000; 15-0000; 25-0000; 37-0000; 39-0000","11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 15-1200; 15-2000; 25-1000; 25-2000; 25-4000; 25-9000","11-1010; 11-1020; 11-2020; 11-3010; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 15-1210; 15-1240; 15-1250; 15-2030; 25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9030; 25-9090","11-1011; 11-1021; 11-2022; 11-3051; 11-3071; 11-9021; 11-9151; 11-9198; 13-1051; 13-1071; 13-1111; 15-1244; 15-1251; 15-1256; 15-1257; 15-2031; 25-4022; 25-9031","","","Business Ethics","https://skills.emsidata.com/skills/KS1218P66BGK5X5JGKLF",""
"https://osmt.wgu.edu/api/skills/ab1014bb-3d48-4255-b950-271f460df5cd","Business Context Ethics Analysis","Western Governors University","Analyze a wide range of business contexts for strategies to navigate ethical issues.","Business Ethics","Business Ethics; Professional_Ethics; Analysis; Analytical Techniques; Thinking; WGUSID: 172.2","ISTE_EdLeaders_5a; InTASC_3a; InTASC_3d; InTASC_3g; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_5i; InTASC_6p; InTASC_8n; ISTE_EdLeaders_2c","","11-0000; 13-0000; 15-0000; 25-0000; 37-0000; 39-0000","11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 15-1200; 15-2000; 25-1000; 25-2000; 25-4000; 25-9000; 37-1000; 39-1000","11-1010; 11-1020; 11-2020; 11-3010; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 15-1210; 15-1240; 15-1250; 15-2030; 25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9010; 25-9030; 25-9090; 37-1010; 39-1010; 39-1020","11-1011; 11-1021; 11-2022; 11-3012; 11-3051; 11-3071; 11-9021; 11-9151; 11-9199; 13-1051; 13-1071; 13-1111; 15-1212; 15-1244; 15-1251; 15-1252; 15-1253; 15-1254; 15-1255; 15-2031; 25-1021; 25-1022; 25-1041; 25-1042; 25-1043; 25-1051; 25-1052; 25-1053; 25-1054; 25-1081; 25-1082; 25-2021; 25-2022; 25-2023; 25-2031; 25-2032; 25-2051; 25-2055; 25-2056; 25-2057; 25-2058; 25-2059; 25-4022; 25-9011; 25-9031; 25-9099; 37-1011; 39-1011; 39-1022","","","Business Ethics","https://skills.emsidata.com/skills/KS1218P66BGK5X5JGKLF",""
"https://osmt.wgu.edu/api/skills/b49e56ee-aa69-46d0-a961-01bda6d7d736","Compliance Training Data Analysis","Western Governors University","Analyze compliance training data for continual improvement.","Compliance Training","Business Ethics; Business_Ethics; Professional_Ethics; Analysis; Analytical Techniques; Thinking; Compliance Training; WGUSID: 352; Professional-Ethics","","","11-0000","11-9000","11-9190","11-9198","","","Compliance Training","https://skills.emsidata.com/skills/KS1226M6HV7VQ42GZYYP",""
"https://osmt.wgu.edu/api/skills/c94f8b1a-c6dc-42cf-ad1b-14ff82e362d7","Ethics Principles Application","Western Governors University","Apply ethics principles to business situations.","Business Ethics","Business Ethics; Business_Ethics; Professional_Ethics; Doing; WGUSID: 451","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS","","11-0000; 13-0000; 15-0000; 19-0000","11-3000; 13-1000; 13-2000; 15-1200","11-3030; 13-1110; 13-1160; 13-2010; 13-2040; 15-1210","11-3031; 13-1111; 13-1161; 13-2011; 13-2041","","","Business Ethics","https://skills.emsidata.com/skills/KS1218P66BGK5X5JGKLF",""
"https://osmt.wgu.edu/api/skills/da13ebb3-5e32-4b01-97d2-ebf179d258a2","Strategic Planning Framework Phases Application","Western Governors University","Apply strategic planning frameworks that include basic phases.","Strategic Planning","Business_Ethics; Professional_Ethics; Doing; Strategic Planning","NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_SPP; NICE_OV_EXL","","11-0000; 13-0000; 15-0000; 19-0000; 33-0000; 37-0000; 39-0000","11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 13-2000; 33-1000","11-1010; 11-1020; 11-2020; 11-3010; 11-3030; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 13-1160; 13-2010; 13-2040; 33-1010","11-1011; 11-1021; 11-2022; 11-3031; 11-3051; 11-3071; 11-9021; 11-9151; 11-9198; 13-1051; 13-1071; 13-1111; 13-1161; 13-2011; 13-2041","","","Strategic Planning","https://skills.emsidata.com/skills/KS1219261TYVPMGX8KVQ",""
"https://osmt.wgu.edu/api/skills/2833ce2f-a3ea-49cf-a65c-5cce849a3c34","Educational Technology Application","Western Governors University","Apply educational technologies in safe, legal, and ethical ways for improved learning.","Educational Technologies","Special Education; Educational Technologies","InTASC_3a; InTASC_3i; InTASC_3n; InTASC_4g; InTASC_8n; ATD.Prof.ID; ATD.Prof.TA; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ISTE.Coach.CL.2b; InTASC_6o; ISTE_Educators_1c; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE_Educators_6a; ISTE_Educators_6b; ISTE_Educators_6c; ISTE_Educators_6d; ISTE.Coach.PLF.5bAAQEP_1a; ISTE.Coach.C.3b; ISTE.Coach.DCA.7d; ISTE_EdLeaders_1d; ATD.Pers.CE; ISTE.Coach.DCA.7c; ISTE.Coach.C.3d; ISTE.Coach.CA.1b; ISTE.Coach.DCA.7a; ISTE.Coach.DCA.7b; InTASC_9f; ILA_Teachers_5.3; NSQ_Teaching_B5","","25-0000","25-1000; 25-2000; 25-4000; 25-9000","25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9030; 25-9090","25-4022; 25-9031","","","Educational Technologies","https://skills.emsidata.com/skills/KS121YM5YHFCQG78PSP4",""
"https://osmt.wgu.edu/api/skills/7b0a0cb8-3e7f-48db-b12d-db9f4b03119b","Mentor Training Program Suggestion","Western Governors University","Suggest mentor training programs to offer direct advice and guidance.","Mentorship","Business_Ethics; Professional_Ethics; 21st_Century_Skills; Doing; SEL: Interpersonal Communication; SEL; Mentorship; Training and Development; WGUSID: 673.2","","","11-0000; 13-0000; 33-0000; 37-0000; 39-0000","11-3000","11-3130","11-3131","","","Mentorship","https://skills.emsidata.com/skills/KS126D668BLGSC15GFLS",""
"https://osmt.wgu.edu/api/skills/cb1c04b1-75f6-4b5f-a93b-4b04846f3973","Policies and Procedures Assessment","Western Governors University","Assess an organization's policies and procedures for strengths and weaknesses.","Business Ethics","Business Ethics; Business_Ethics; Professional_Ethics; Thinking; WGUSID: 734","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS","","11-0000; 13-0000; 15-0000; 19-0000","11-3000; 13-1000; 13-2000; 15-1200; 15-2000; 19-3000; 19-4000","11-3030; 13-1020; 13-1110; 13-1160; 13-2010; 13-2040; 15-1210; 15-2040; 19-3010; 19-4060","11-3031; 13-1021; 13-1022; 13-1023; 13-1111; 13-1161; 13-2011; 13-2041; 15-1212; 15-2041; 19-3011; 19-4061","","","Business Ethics","https://skills.emsidata.com/skills/KS1218P66BGK5X5JGKLF",""
"https://osmt.wgu.edu/api/skills/0da1b259-ba31-47a4-813d-218f8e497d22","Acceptable Solution Negotiation","Western Governors University","Negotiate between parties for a mutually acceptable solution.","Negotiation","Business_Ethics; Professional_Ethics; Doing; Negotiation; WGUSID: 755","","","11-0000; 13-0000; 33-0000; 37-0000; 39-0000","11-3000","11-3130","11-3131","","","Negotiation","https://skills.emsidata.com/skills/KS126X663B21NB77ZHSP",""
