"Canonical URL","RSD Name","Authors","Skill Statement","Categories","Keywords","Standards","Certifications","Occupation Major Groups","Occupation Minor Groups","Broad Occupations","Detailed Occupations","O*Net Job Codes","Employers","Alignment Name","Alignment URL","Alignment Framework"
"https://osmt.wgu.edu/api/skills/552d7d33-915d-4536-83fb-4a72d1c4ce61","Ethical Guidelines Development","Western Governors University","Develop a set of ethical guidelines for an organization.","Business Ethics","Business Ethics; Business_Ethics; Professional_Ethics; Thinking; Microsoft PowerPoint; Microsoft Word; WGUSID: 6979.21","","","11-0000; 13-0000","11-9000; 13-1000; 13-2000","11-9030; 13-1050; 13-1070; 13-1080; 13-1110; 13-1140; 13-1150; 13-1160; 13-1190; 13-2010; 13-2030; 13-2040; 13-2050; 13-2060; 13-2080","11-9033; 11-9039; 13-1051; 13-1071; 13-1081; 13-1111; 13-1141; 13-1151; 13-1161; 13-1198; 13-2011; 13-2031; 13-2041; 13-2061","","","Business Ethics","https://skills.emsidata.com/skills/KS1218P66BGK5X5JGKLF",""
"https://osmt.wgu.edu/api/skills/15b5d3e7-8631-42a6-9a2a-14ab85feead4","Ethics Violation Reporting Process Implementation","Western Governors University","Implement a process for employees to report ethics policy violations to a third party.","Business Ethics","Business Ethics; Business_Ethics; Professional_Ethics; Doing; Microsoft Word; WordPress; WGUSID: 7119","ATD.Prof.ID; ATD.Prof.TDF; ATD.Pers.CL; ATD.Pers.CE","","13-0000","13-1000; 13-2000","13-1050; 13-1070; 13-1080; 13-1110; 13-1140; 13-1150; 13-1160; 13-1190; 13-2010; 13-2030; 13-2040; 13-2050; 13-2060; 13-2080","13-1051; 13-1071; 13-1081; 13-1111; 13-1141; 13-1151; 13-1161; 13-1198; 13-2011; 13-2031; 13-2041; 13-2061","","","Business Ethics","https://skills.emsidata.com/skills/KS1218P66BGK5X5JGKLF",""
"https://osmt.wgu.edu/api/skills/a7a67d34-4d2b-4fa6-9ed0-32cb8f071ed7","Business Data Analysis","Western Governors University","Analyze business data for confirmation of the root cause of a problem.","Business Analysis","Tableau; Business Intelligence; IBM Cognos Impromptu; MicroStrategy; lik Tech likView","","","13-0000","13-1000; 13-2000","13-1110; 13-1160; 13-1190; 13-2050; 13-2060; 13-2080","13-1111; 13-1161; 13-1198; 13-2061; 13-2081; 13-2082","","","Business Analysis","https://lightcast.io/open-skills/skills/KS1218C6C8TX2Y1KRN37/business-analysis",""
"https://osmt.wgu.edu/api/skills/8cc0a57a-96ac-4b57-b7d0-90bc0ca73e9f","Organizational Resource Use Evaluation","Western Governors University","Evaluate organizational resource use for improvement opportunities.","Continuous Quality Improvement (CQI)","Continuous Quality Improvement (CI); Organizational Leadership; WGUSID: 7192","ATD.Org.DA; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5c; ISTE.Coach.DDM.6c; ATD.Pers.CL; ATD.Org.CBP; ISTE.Coach.PLF.5a","AZ-304","13-0000","13-1000; 13-2000","13-1110; 13-1150; 13-2050; 13-2060; 13-2080","13-1111; 13-1151; 13-2061; 13-2081; 13-2082","","","Continuous Quality Improvement (CI)","https://skills.emsidata.com/skills/KS122GZ6ZX8P4VRPWNS",""
"https://osmt.wgu.edu/api/skills/268f680b-b55c-4719-9ecd-1b64621c524c","Perform Analysis","Western Governors University","Perform analyses to draw conclusions from data.","Data Analysis","GeneralEducation2019; Curriculum & Instruction; Critical Thinking; Operations","ATD.Org.DA; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.DDM.6a; ISTE.Coach.DDM.6b; ISTE.Coach.PLF.5c; ATD.Org.ODC; ISTE.Coach.DDM.6c; ATD.Pers.CL; ATD.Pers.PM; ATD.Org.CBP","","13-0000; 19-0000; 33-0000","13-1000; 13-2000; 19-4000; 33-1000; 33-3000","13-1050; 13-1070; 13-1080; 13-1110; 13-1140; 13-1150; 13-1160; 13-1190; 13-2010; 13-2030; 13-2040; 13-2050; 13-2060; 13-2080; 19-4090; 33-1010; 33-3020","13-1051; 13-1071; 13-1075; 13-1081; 13-1111; 13-1141; 13-1151; 13-1161; 13-1198; 13-2011; 13-2031; 13-2041; 13-2061; 13-2081; 13-2082","","","Data Analysis","https://lightcast.io/open-skills/skills/KS120GV6C72JMSZKMTD7",""
"https://osmt.wgu.edu/api/skills/ff9ecace-f646-47af-a279-047b0947543c","Goal Timeline Creation","Western Governors University","Create a timeline for accomplishing a specific goal.","Goal Setting","Goal Oriented; Goal Setting; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Self Management","","","13-0000","13-1000; 13-2000","13-1110; 13-2030; 13-2050; 13-2060; 13-2080","13-1111; 13-2031; 13-2061; 13-2081","","","Goal Setting","https://lightcast.io/open-skills/skills/ESEF6CBFE27C71B28816/goal-setting",""
"https://osmt.wgu.edu/api/skills/a603afea-bbfb-4037-b518-db7056e446f5","Make Judgements for Work Challenges","Western Governors University","Make objective reasoned judgments for complex work challenges.","Critical Thinking","Critical Thinking; Operations; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Executive Function & Responsible Decision Making; WGUSID: 3182.1","IDA_KPS_5.3; IDA_KPS_5.5","CompTIA_ITF+","11-0000; 13-0000; 15-0000; 19-0000; 33-0000","11-3000; 13-1000; 13-2000; 19-4000; 33-1000; 33-3000","11-3030; 13-1110; 13-1160; 13-2010; 13-2030; 13-2040; 13-2060; 13-2080; 19-4090; 33-1010; 33-3020","11-3031; 13-1111; 13-1161; 13-2011; 13-2031; 13-2041; 13-2061; 13-2081","","","Critical Thinking","https://skills.emsidata.com/skills/KS122J56PZMMFL1SVY1F",""
"https://osmt.wgu.edu/api/skills/1f9212a0-b9d6-4157-b744-72f34174d1c0","Provide Constructive Feedback","Western Governors University","Provide constructive feedback to continuously improve individual and team performance.","Constructive Feedback","Relationship Management; Relationship Building; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Interpersonal Communication","","","13-0000","13-1000; 13-2000","13-1070; 13-2050; 13-2060; 13-2080","13-1071; 13-1075; 13-2061","","","Constructive Feedback","https://lightcast.io/open-skills/skills/ES886154C56DD7EB0AFF/constructive-feedback",""
"https://osmt.wgu.edu/api/skills/611e0256-8cf0-445d-9913-d4781603268a","Cultivate Relationships Through Team-Building","Western Governors University","Cultivate relationships through team-building experiences.","Relationship Building","Relationship Management; Relationship Building; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Interpersonal Communication; WGUSID: 7668","","","13-0000","13-1000; 13-2000","13-1070; 13-2050; 13-2060; 13-2080","13-1071; 13-1075; 13-2061","","","Relationship Building","https://skills.emsidata.com/skills/KS128HP65N6N70YV5ZM7",""
"https://osmt.wgu.edu/api/skills/b67d1516-a6a1-4233-a90e-cd38d43f4fe9","Monitor Team Performance","Western Governors University","Monitor the performance of team members.","Team Leadership","Team Leadership; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Interpersonal Communication; WGUSID: 7813","ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5c; ISTE.Coach.DDM.6c; ATD.Pers.CL; ISTE.Coach.PLF.5a","","13-0000","13-1000; 13-2000","13-1110; 13-1150; 13-1160; 13-1190; 13-2050; 13-2060; 13-2080","13-1111; 13-1151; 13-1161; 13-1198; 13-2061; 13-2081; 13-2082","","","Team Leadership","https://skills.emsidata.com/skills/KS4418462TTGKL3CWJHT",""
"https://osmt.wgu.edu/api/skills/16e330dd-fdbb-4385-923c-d1aa5be5349f","Display Attitude and Belief Awareness","Western Governors University","Display an awareness that one's own attitudes and beliefs can be different from other cultures and communities.","Cultural Sensitivity","Cultural Sensitivity; Cultural Awareness; Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Social Awareness; AppBizSkl","ISTE_Educators_4d; InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_5d; ATD.Org.ODC; ISTE.Coach.C.3b; ISTE.Coach.PLF.5bAAQEP_1f; ISTE.Coach.DCA.7c; ISTE.Coach.DCA.7b; ISTE_EdLeaders_3d; AAQEP_2b; ATD.Pers.CA; AAQEP_2e; InTASC_4m","","13-0000; 15-0000; 25-0000; 33-0000","13-2000; 15-1200; 25-4000; 25-9000; 33-1000; 33-3000","13-2010; 13-2030; 13-2040; 13-2060; 13-2080; 15-1210; 25-4020; 25-9030; 25-9090; 33-1010; 33-3010; 33-3020; 33-3050","13-2011; 13-2031; 13-2041; 13-2061; 13-2081; 25-4022; 25-9031","","","Cultural Sensitivity","https://skills.emsidata.com/skills/KSOLBOKKX23X15NAC1IN",""
"https://osmt.wgu.edu/api/skills/8fc591a8-21f8-413f-bde3-5b5ffd3e165c","Cash Guideline and Policy Creation","Western Governors University","Develop guidelines and policies for managing cash processes.","Accounting Management","Analysis; Analytical Techniques; Account Analysis; Account Reconciliation; Analytical Skills","","CPA; CIA","13-0000","13-2000","13-2010; 13-2030; 13-2040; 13-2060; 13-2080","13-2011; 13-2031; 13-2041; 13-2061; 13-2081","","","Accounting Management","https://lightcast.io/open-skills/skills/KS1203Z6YQZ0X4XX7RM2/accounting-management",""
"https://osmt.wgu.edu/api/skills/e3f17452-986f-44c9-8dff-1829bab21316","Month-end Financial Reporting","Western Governors University","Present month-end results according to Generally Accepted Accounting Principles.","Generally Accepted Accounting Principles","","","CPA; CIA","13-0000; 33-0000","13-2000; 33-3000","13-2010; 13-2030; 13-2040; 13-2060; 13-2080; 33-3020","13-2011; 13-2031; 13-2041; 13-2061; 13-2081","","","Accounting","https://skills.emsidata.com/skills/KS1203W702ND09XHKJR5",""
"https://osmt.wgu.edu/api/skills/7d7a73b8-2689-420b-b391-5457acafee94","Reconciliation Schedules Preparation","Western Governors University","Prepare reconciliation schedules for balance sheet accounts, including accounts receivable and bad debt reserves.","Financial Accounting","Accounting; Month-End Close Processes","","CPA; CIA","11-0000; 13-0000; 15-0000; 19-0000; 33-0000; 37-0000; 39-0000","11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 13-2000; 33-3000","11-1010; 11-1020; 11-2020; 11-3010; 11-3030; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 13-1160; 13-2010; 13-2030; 13-2040; 13-2060; 13-2080; 33-3020","11-1011; 11-1021; 11-2022; 11-3031; 11-3051; 11-3071; 11-9021; 11-9151; 11-9198; 13-1051; 13-1071; 13-1111; 13-1161; 13-2011; 13-2031; 13-2041; 13-2061; 13-2081","","","Financial Accounting","https://lightcast.io/open-skills/skills/KS123Y56VDHMZ288XX1W/financial-accounting",""
"https://osmt.wgu.edu/api/skills/3c2aa727-f170-4003-8a90-0b1d186b10fe","Economic Status Communication","Western Governors University","Communicate the economic status and trajectory of an organization to key stakeholders.","Financial Reporting","Communications; Accounting; Month-End Close Processes","","CPA; CMA","11-0000; 13-0000; 15-0000; 19-0000; 33-0000","11-3000; 11-9000; 13-1000; 13-2000; 33-3000","11-3030; 11-9030; 11-9190; 13-1110; 13-1160; 13-2010; 13-2030; 13-2040; 13-2060; 13-2080; 33-3020","11-3031; 11-9033; 11-9198; 13-1111; 13-1161; 13-2011; 13-2031; 13-2041; 13-2061; 13-2081","","","Financial Reporting","https://www.fasb.org/page/ShowPdf?path=Concepts%20Statement%20No.%208%E2%80%94Conceptual%20Framework%20for%20Financial%20Reporting%E2%80%94Chapter%202,%20The%20Reporting%20Entity.pdf",""
"https://osmt.wgu.edu/api/skills/443868a5-c57d-45c1-8f23-1e70177262e2","Financial Reviews Conduction","Western Governors University","Conduct financial reviews of month-end reports.","Financial Reporting","Communications; Accounting; Month-End Close Processes","","CPA; CIA","13-0000; 33-0000","13-2000; 33-3000","13-2010; 13-2030; 13-2040; 13-2060; 13-2080; 33-3020","13-2011; 13-2031; 13-2041; 13-2061; 13-2081","","","Financial Reporting","https://www.fasb.org/page/ShowPdf?path=Concepts%20Statement%20No.%208%E2%80%94Conceptual%20Framework%20for%20Financial%20Reporting%E2%80%94Chapter%202,%20The%20Reporting%20Entity.pdf",""
"https://osmt.wgu.edu/api/skills/beb30320-a2d3-43e9-99fd-61430bd2354e","Full Cycle Financial Accounting","Western Governors University","Execute full cycle financial accounting.","Financial Accounting","Accounts Receivable; Accounts Payable; Accounting; Month-End Close Processes; Payroll","","CPA","11-0000; 13-0000; 15-0000; 19-0000; 37-0000; 39-0000","11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 13-2000","11-1010; 11-1020; 11-2020; 11-3010; 11-3030; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 13-1160; 13-2010; 13-2030; 13-2040; 13-2060; 13-2080","11-1011; 11-1021; 11-2022; 11-3031; 11-3051; 11-3071; 11-9021; 11-9151; 11-9198; 13-1051; 13-1071; 13-1111; 13-1161; 13-2011; 13-2031; 13-2041; 13-2061; 13-2081","","","Financial Accounting","https://lightcast.io/open-skills/skills/KS123Y56VDHMZ288XX1W/financial-accounting",""
"https://osmt.wgu.edu/api/skills/58701402-1035-4e00-a433-ec11d470755a","Financial Best Practices Implementation","Western Governors University","Implement financial best practices.","Financial Management","SAP; Microsoft Excel; QuickBooks; NetSuite; Accounting; Month-End Close Processes; Dynamics 365 Finance; Oracle","","CPA; CIA; CFE","11-0000; 13-0000; 15-0000; 19-0000","11-3000; 11-9000; 13-1000; 13-2000; 15-2000","11-3030; 11-9030; 13-1110; 13-1160; 13-2010; 13-2030; 13-2040; 13-2060; 13-2080; 15-2030","11-3031; 11-9033; 13-1111; 13-1161; 13-2011; 13-2031; 13-2041; 13-2061; 13-2081; 15-2031","","","Financial Management","https://lightcast.io/open-skills/skills/KS123Y170JP7JBSFVBSS/financial-management",""
