"Canonical URL","RSD Name","Authors","Skill Statement","Categories","Keywords","Standards","Certifications","Occupation Major Groups","Occupation Minor Groups","Broad Occupations","Detailed Occupations","O*Net Job Codes","Employers","Alignment Name","Alignment URL","Alignment Framework"
"https://osmt.wgu.edu/api/skills/24e8943e-8c59-402b-9e30-c336cdb490ac","Demonstrate Perseverance","Western Governors University","Demonstrate perseverance through adversity.","Resilience","Being; Diversity, Equity, and Inclusion (DEI): General; DEI_Collection; Character; 21st_Century_Skills; SEL; Power_Skills_Framework; Resilience; SEL: Self-Management; Persistence; Cognitive Flexibility; Cognitive Restructuring; Cognitive Strategies; WGUSID: 547","","","11-0000; 25-0000; 29-0000; 33-0000","33-3000","33-3050","","","","Resilience","https://skills.emsidata.com/skills/ESC5567F7A6FA12D0DCD",""
"https://osmt.wgu.edu/api/skills/219472eb-07a7-4c0d-8a44-7f3332771e65","Articulate Complex Ideas","Western Governors University","Articulate complex ideas and information, pointing out connections and relationships.","Communication","","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_PR_CIR; NICE_IN_INV; NICE_IN_FOR; NICE_PR_CDA; NICE_PR_VAM; NICE_PR_INF; NICE_OV_SPP; NICE_OV_EXL; NICE_OV_LGA; NICE_OV_TEA","","15-0000; 19-0000; 33-0000","15-1200; 19-4000; 33-1000; 33-3000","15-1210; 19-4090; 33-1010; 33-3020; 33-3050","","","","Communication","https://lightcast.io/open-skills/skills/KS122556LMQ829GZCCRV/communication",""
"https://osmt.wgu.edu/api/skills/de1ed4d0-78ce-4072-917b-1d35c41e37e0","New Technology Implementation","Western Governors University","Implement new technology for resolving business challenges.","Innovation","Business_Ethics; Professional_Ethics; Doing; Innovation; WGUSID: 770","NICE_SP_RSK; NICE_SP_DEV; NICE_SP_ARC; NICE_SP_TRD; NICE_SP_SRP; NICE_SP_TST; NICE_SP_SYS; NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_PR_INF","","11-0000; 13-0000; 15-0000; 19-0000; 33-0000; 37-0000; 39-0000","11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 13-2000","11-1010; 11-1020; 11-2020; 11-3010; 11-3030; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 13-1160; 13-2010; 13-2040","11-1011; 11-1021; 11-2022; 11-3031; 11-3051; 11-3071; 11-9021; 11-9151; 11-9198; 13-1051; 13-1071; 13-1111; 13-1161; 13-2011; 13-2041","","","Innovation","https://skills.emsidata.com/skills/KS1253H61TTR1FZWSRH4",""
"https://osmt.wgu.edu/api/skills/fd3a67f8-59ac-419a-abe2-5b47ad59ff4b","Clear and Succinct Communication","Western Governors University","Communicate clearly and succinctly.","Communication","Business Ethics; Business_Ethics; Professional_Ethics; Doing","","","11-0000; 13-0000; 19-0000; 33-0000","11-9000; 13-1000; 19-4000; 33-1000; 33-3000","11-9190; 13-1070; 13-1110; 19-4090; 33-1010; 33-3010; 33-3020; 33-3050","11-9199; 13-1071; 13-1111","","","Communication","https://lightcast.io/open-skills/skills/KS122556LMQ829GZCCRV/communication",""
"https://osmt.wgu.edu/api/skills/0e61da2b-169d-4062-8fd4-179245b82f33","Business Hurdle Management","Western Governors University","Manage business hurdles with creative solutions.","Creative Problem-Solving","Business_Ethics; Professional_Ethics; Doing; Management; Supervisory Skills","NICE_OV_MGT; NICE_AN_TWA; NICE_AN_EXP; NICE_AN_ASA; NICE_AN_TGT; NICE_AN_LNG; NICE_CO_CLO; NICE_CO_OPL; NICE_CO_OPS; NICE_OV_PMA; NICE_OV_EXL","","11-0000; 13-0000; 15-0000; 19-0000; 33-0000; 37-0000; 39-0000","11-3000","11-3130","11-3131","","","Creative Problem Solving","https://lightcast.io/open-skills/skills/KS122HN63RD7JX5WNCJ8/creative-problem-solving",""
"https://osmt.wgu.edu/api/skills/738b34ed-be5f-4d51-9c21-625a2a6cc07a","Situational Detail Identification","Western Governors University","Identify the details in a situation.","Detail Oriented","Business_Ethics; Professional_Ethics; 21st_Century_Skills; Doing; SEL; SEL: Self-Management; Detail Oriented; WGUSID: 3731","","","11-0000; 13-0000; 19-0000; 33-0000; 37-0000; 39-0000","11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 19-4000; 33-1000; 33-3000","11-1010; 11-1020; 11-2020; 11-3010; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 19-4090; 33-1010; 33-3010; 33-3020; 33-3050","11-1011; 11-1021; 11-2022; 11-3051; 11-3071; 11-9021; 11-9151; 11-9198; 13-1051; 13-1071; 13-1111","","","Detail Oriented","https://skills.emsidata.com/skills/KSQPGV2XZO8UMNCC49LK",""
"https://osmt.wgu.edu/api/skills/268f680b-b55c-4719-9ecd-1b64621c524c","Perform Analysis","Western Governors University","Perform analyses to draw conclusions from data.","Data Analysis","GeneralEducation2019; Curriculum & Instruction; Critical Thinking; Operations","ATD.Org.DA; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.DDM.6a; ISTE.Coach.DDM.6b; ISTE.Coach.PLF.5c; ATD.Org.ODC; ISTE.Coach.DDM.6c; ATD.Pers.CL; ATD.Pers.PM; ATD.Org.CBP","","13-0000; 19-0000; 33-0000","13-1000; 13-2000; 19-4000; 33-1000; 33-3000","13-1050; 13-1070; 13-1080; 13-1110; 13-1140; 13-1150; 13-1160; 13-1190; 13-2010; 13-2030; 13-2040; 13-2050; 13-2060; 13-2080; 19-4090; 33-1010; 33-3020","13-1051; 13-1071; 13-1075; 13-1081; 13-1111; 13-1141; 13-1151; 13-1161; 13-1198; 13-2011; 13-2031; 13-2041; 13-2061; 13-2081; 13-2082","","","Data Analysis","https://lightcast.io/open-skills/skills/KS120GV6C72JMSZKMTD7",""
"https://osmt.wgu.edu/api/skills/20fd4052-8eac-4606-bde8-e557ca333d27","On-Time Task Completion","Western Governors University","Complete assigned tasks on time.","Time Management","Medical Assistant; Time Management; WGUSID: 9582","","","21-0000; 29-0000; 31-0000","21-1000; 29-1000; 29-2000; 31-1100; 31-9000","21-1010; 21-1020; 21-1090; 29-1040; 29-1170; 29-1290; 29-2050; 29-2070; 29-2080; 29-2090; 31-1120; 31-1130; 31-9090","21-1015; 21-1018; 21-1022; 21-1094; 29-1041; 29-1171; 29-1292; 29-2052; 29-2072; 29-2081; 29-2098; 31-1131; 31-9091; 31-9092; 31-9095","29-2072.00","","Time Management","https://skills.emsidata.com/skills/KS44175745H9Q0DPBDNT",""
"https://osmt.wgu.edu/api/skills/8955f744-1791-430f-ab8d-e52339956952","Cross-Cultural Communication","Western Governors University","Communicate effectively across cultural contexts.","Communication","Diversity, Equity, and Inclusion (DEI): General; DEI_Collection; 21st_Century_Skills; Healthy Learning Strategies","","","11-0000; 13-0000; 25-0000","","","","","","Communication","https://lightcast.io/open-skills/skills/KS122556LMQ829GZCCRV/communication",""
"https://osmt.wgu.edu/api/skills/04c72a00-2ca9-40cb-bdfe-a7f2124c3ff5","Develop a Professional Enhancement Plan","Western Governors University","Develop a plan for professional enhancement.","Career Development","Social Emotional Learning (SEL): General; Social Emotional Learning (SEL): Self-Awareness; personal growth; enhancement; self-development; WGUSID: 13122","NLN_CNE_5.6; ANCC_Informatics_Certification_I.A.4; AHIMA_RHIA_Domain_5; IPEC_Core_Competencies_RR9; IPEC_Core_Competencies_RR8; ACHE_3B1; NLN_CNE_4.1","","29-0000; 31-0000","29-2000; 31-9000","29-2050; 31-9090","29-2052; 31-9095","","","Career Development","https://lightcast.io/open-skills/skills/KS121DS6GB09TFN7RLX0/career-development",""
