:ID,:LABEL,prefLabel,identifier
align-1042258719864293,Alignment,Mindset,https://doi.org/10.1177/1042258719864293
align-3,Alignment,Civic Disposition,https://democracyeducationjournal.org/home/vol30/iss1/3
align-9781003189466,Alignment,Technology Ethics,https://doi.org/10.4324/9781003189466
align-academic-accommodation-plans,Alignment,Academic Accommodation Plans,https://lightcast.io/open-skills/skills/ES12F6869E7F07D20F2F/academic-accommodation-plans
align-academic-advising,Alignment,Academic Advising,https://lightcast.io/open-skills/skills/ES2DF577C8B1BD54B16C/academic-advising
align-access-controls,Alignment,Access Controls,https://lightcast.io/open-skills/skills/KS1203L5ZBS8NR0T5XN2/access-controls
align-account-reconciliation,Alignment,Account Reconciliation,https://lightcast.io/open-skills/skills/BGS794951D216441A250/account-reconciliation
align-accountability,Alignment,Accountability,https://lightcast.io/open-skills/skills/ES7A07CF87C516875B23/accountability
align-accounting,Alignment,Accounting,https://lightcast.io/open-skills/skills/KS1203W702ND09XHKJR5/accounting
align-accounting-management,Alignment,Accounting Management,https://lightcast.io/open-skills/skills/KS1203Z6YQZ0X4XX7RM2/accounting-management
align-accounting-systems,Alignment,Accounting Systems,https://lightcast.io/open-skills/skills/KS12043750BK3KLG30B5/accounting-systems
align-active-learning,Alignment,Active Learning,https://lightcast.io/open-skills/skills/KS1205G70KR7LY58Q27Z/active-learning
align-active-listening,Alignment,Active Listening,https://lightcast.io/open-skills/skills/KS1205H6HZDXGDV2R0QZ/active-listening
align-adaptability,Alignment,Adaptability,https://lightcast.io/open-skills/skills/KS120626HMWCXJWJC7VK/adaptability
align-advertisement,Alignment,Advertisement,https://lightcast.io/open-skills/skills/KS7G0S16FTG6TB0QZD2F/advertisement
align-advertising-campaigns,Alignment,Advertising Campaigns,https://lightcast.io/open-skills/skills/KS1208X76FB40ZXZXY03/advertising-campaigns
align-agile-project-management,Alignment,Agile Project Management,https://lightcast.io/open-skills/skills/ES5084E497CF6A499186/agile-project-management
align-agile-software-development,Alignment,Agile Software Development,https://lightcast.io/open-skills/skills/ES9C0ADA3C9397DD6AED/agile-software-development
align-algebra,Alignment,Algebra,https://lightcast.io/open-skills/skills/KS120D860H0P77RH6GND/algebra
align-algorithm-analysis,Alignment,Algorithm Analysis,https://lightcast.io/open-skills/skills/KS120D96H7R27D70W4Q0/algorithm-analysis
align-algorithms,Alignment,Algorithms,https://lightcast.io/open-skills/skills/KS120D96FHL88PZDKZKH/algorithms
align-alignment,Alignment,Critical Evaluation,https://osmt.prod.wgu.edu/
align-amazon-web-services,Alignment,Amazon Web Services,https://lightcast.io/open-skills/skills/KS120FG6YP8PQYYNQY9B/amazon-web-services
align-analytical-skills,Alignment,Analytical Skills,https://lightcast.io/open-skills/skills/ESFA9982A2A945E439CB/analytical-skills
align-analytical-thinking,Alignment,Analytical Thinking,https://lightcast.io/open-skills/skills/ES86C12B1AA904C0F35F/analytical-thinking
align-anatomy,Alignment,Anatomy,https://lightcast.io/open-skills/skills/KS120GW6MQV89ZGTQ4GF/anatomy
align-anti-money-laundering,Alignment,Anti-Money Laundering,https://lightcast.io/open-skills/skills/KS7G05V6LRKY1PMN9GQG/anti-money-laundering
align-application-development,Alignment,Application Development,https://lightcast.io/open-skills/skills/KS120L16S3RLJ82VQ08H/application-development
align-application-programming-interface-api,Alignment,Application Programming Interface (API),https://lightcast.io/open-skills/skills/KS1208P6ZMZ4N872Y7X5/application-programming-interface-api
align-application-security,Alignment,Application Security,https://lightcast.io/open-skills/skills/KS120L876QXYT7MHGR18/application-security
align-applied-ethics,Alignment,Applied Ethics,https://lightcast.io/open-skills/skills/ES317D6EADB0B843D141/applied-ethics
align-artificial-intelligence,Alignment,Artificial Intelligence,https://lightcast.io/open-skills/skills/KS120BV6SR75RBKQH0G3/artificial-intelligence
align-audience-segmentation,Alignment,Audience Segmentation,https://lightcast.io/open-skills/skills/KS120RB5WQ94PZKY9GVV/audience-segmentation
align-auditing,Alignment,Auditing,https://lightcast.io/open-skills/skills/KS120RN6FDTS9FLCH3T0/auditing
align-backup-and-restore,Alignment,Backup and Restore,https://lightcast.io/open-skills/skills/KS442325XYQ2CZR1VB7N/backup-and-restore
align-benefits-administration,Alignment,Benefits Administration,https://lightcast.io/open-skills/skills/KS120ZG5Z4HL47QBVR0X/benefits-administration
align-bgs217849366029d2403,Alignment,Retail Marketing Strategy,https://lightcast.io/open-skills/skills/BGS217849366029D2403
align-bgs273754e9e875dcfe7,Alignment,Data Analytics,https://lightcast.io/open-skills/skills/BGS273754E9E875DCFE7
align-bgs409fd4e9c8053a315,Alignment,Sales Strategy,https://lightcast.io/open-skills/skills/BGS409FD4E9C8053A315
align-bgs44b0b6fbf1324a81d,Alignment,Database Management,https://lightcast.io/open-skills/skills/BGS44B0B6FBF1324A81D
align-bgs794951d216441a250,Alignment,Account Reconciliation,https://skills.lightcast.io/skills/BGS794951D216441A250
align-bgs9debed92fc0729c48,Alignment,Environmental Literacy,https://skills.emsidata.com/skills/BGS9DEBED92FC0729C48
align-bgs9df4756463cf4f73e,Alignment,Time Series Analysis and Forecasting,https://lightcast.io/open-skills/skills/BGS9DF4756463CF4F73E
align-bgsa09d67d5649d8559e,Alignment,Compliance Management,https://lightcast.io/open-skills/skills/BGSA09D67D5649D8559E
align-bgsaa93822820df21114,Alignment,Sales Analysis,https://lightcast.io/open-skills/skills/BGSAA93822820DF21114
align-bgsb4e1d5ca81759d758,Alignment,Statistical Analysis,https://lightcast.io/open-skills/skills/BGSB4E1D5CA81759D758
align-bgsbc6553ccf3f292f02,Alignment,Product Knowledge,https://skills.lightcast.io/skills/BGSBC6553CCF3F292F02
align-bgsce1c7d6fab422e783,Alignment,Educational Needs Assessment,https://lightcast.io/open-skills/skills/BGSCE1C7D6FAB422E783
align-bgsd16a8eef4f5775e15,Alignment,Employee Coaching,https://skills.emsidata.com/skills/BGSD16A8EEF4F5775E15
align-bookkeeping,Alignment,Bookkeeping,https://lightcast.io/open-skills/skills/KS1203X6ZDCNW2J3RC4X/bookkeeping
align-brand-management,Alignment,Brand Management,https://lightcast.io/open-skills/skills/KS12160602V51N7SJSX8/brand-management
align-brand-marketing,Alignment,Brand Marketing,https://lightcast.io/open-skills/skills/ES99A6D89D5C11F093DA/brand-marketing
align-brand-strategy,Alignment,Brand Strategy,https://lightcast.io/open-skills/skills/ES3A33737C74D25D112A/brand-strategy
align-budgeting,Alignment,Budgeting,https://lightcast.io/open-skills/skills/KS120HK5XY6JV257QLTX/budgeting
align-business-analysis,Alignment,Business Analysis,https://lightcast.io/open-skills/skills/KS1218C6C8TX2Y1KRN37/business-analysis
align-business-development,Alignment,Business Development,https://lightcast.io/open-skills/skills/KS1212B6QR5SK1LSD4S4/business-development
align-business-intelligence,Alignment,Business Intelligence,https://lightcast.io/open-skills/skills/KS120ZX7019J4V8DHBTM/business-intelligence
align-business-networking,Alignment,Business Networking,https://lightcast.io/open-skills/skills/KS12190602QSDB2XD0KT/business-networking
align-business-operations,Alignment,Business Operations,https://lightcast.io/open-skills/skills/ES84406857CBEEFACE95/business-operations
align-business-process,Alignment,Business Process,https://lightcast.io/open-skills/skills/KS1218Y74WJ6YV4KH0DM/business-process
align-business-process-management,Alignment,Business Process Management,https://lightcast.io/open-skills/skills/KS1215M77JN57WSTPF3L/business-process-management
align-business-strategies,Alignment,Business Strategies,https://lightcast.io/open-skills/skills/KS440ZZ6HJGY92HPTWCV/business-strategies
align-calculus,Alignment,Calculus,https://lightcast.io/open-skills/skills/KS121BN5YN02RH41JHC7/calculus
align-career-development,Alignment,Career Development,https://lightcast.io/open-skills/skills/KS121DS6GB09TFN7RLX0/career-development
align-career-management,Alignment,Career Management,https://lightcast.io/open-skills/skills/KS121DT5WLTBVZGKQW4Z/career-management
align-caring-and-consideration,Alignment,Caring And Consideration,Caring And Consideration
align-change-management,Alignment,Change Management,https://lightcast.io/open-skills/skills/KS121T569X502KJPS0F3/change-management
