:ID,:LABEL,prefLabel
cat-academic-accommodation-plans,Category,Academic Accommodation Plans
cat-academic-advising,Category,Academic Advising
cat-academic-affairs,Category,Academic Affairs
cat-academic-tenacity,Category,Academic Tenacity
cat-academic-writing,Category,Academic Writing
cat-acceptance-testing,Category,Acceptance Testing
cat-access-controls,Category,Access Controls
cat-access-network,Category,Access Network
cat-account-analysis,Category,Account Analysis
cat-account-reconciliation,Category,Account Reconciliation
cat-accountability,Category,Accountability
cat-accounting,Category,Accounting
cat-accounting-ethics,Category,Accounting Ethics
cat-accounting-management,Category,Accounting Management
cat-accounting-software,Category,Accounting Software
cat-accounting-systems,Category,Accounting Systems
cat-accounts-payable,Category,Accounts Payable
cat-accounts-receivable,Category,Accounts Receivable
cat-accruals,Category,Accruals
cat-acquisitions-and-mergers,Category,Acquisitions and Mergers
cat-active-directory,Category,Active Directory
cat-active-learning,Category,Active Learning
cat-active-listening,Category,Active Listening
cat-acute-care,Category,Acute Care
cat-adaptability,Category,Adaptability
cat-addie-instructional-design-model,Category,ADDIE Instructional Design Model
cat-advanced-cardiovascular-life-support-acls,Category,Advanced Cardiovascular Life Support (ACLS)
cat-advertisement,Category,Advertisement
cat-advertising-campaigns,Category,Advertising Campaigns
cat-advertising-sales,Category,Advertising Sales
cat-advising,Category,Advising
cat-advocacy,Category,Advocacy
cat-aerosol-therapy,Category,Aerosol Therapy
cat-agency,Category,Agency
cat-agency-law,Category,Agency Law
cat-agile-project-management,Category,Agile Project Management
cat-agile-software-development,Category,Agile Software Development
cat-air-quality,Category,Air Quality
cat-algebra,Category,Algebra
cat-algorithm-analysis,Category,Algorithm Analysis
cat-algorithms,Category,Algorithms
cat-allyship,Category,Allyship
cat-amazon-web-services,Category,Amazon Web Services
cat-analytical-skills,Category,Analytical Skills
cat-analytical-techniques,Category,Analytical Techniques
cat-analytical-thinking,Category,Analytical Thinking
cat-analytics,Category,Analytics
cat-anatomy,Category,Anatomy
cat-anti-money-laundering,Category,Anti-Money Laundering
cat-apache-hadoop,Category,Apache Hadoop
cat-appeals,Category,Appeals
cat-applicant-tracking-systems,Category,Applicant Tracking Systems
cat-application-development,Category,Application Development
cat-application-programming-interface-api,Category,Application Programming Interface (API)
cat-application-security,Category,Application Security
cat-applied-ethics,Category,Applied Ethics
cat-applied-mathematics,Category,Applied Mathematics
cat-architectural-drawing,Category,Architectural Drawing
cat-art-literacy,Category,Art Literacy
cat-artificial-intelligence-ai,Category,Artificial Intelligence (AI)
cat-artificial-neural-networks,Category,Artificial Neural Networks
cat-assess-patient-needs,Category,Assess Patient Needs
cat-asset-allocation,Category,Asset Allocation
cat-asset-protection,Category,Asset Protection
cat-audience-segmentation,Category,Audience Segmentation
cat-auditing,Category,Auditing
cat-authentications,Category,Authentications
cat-automated-external-defibrillator,Category,Automated External Defibrillator
cat-backdoor,Category,Backdoor
cat-backup-and-restore,Category,Backup And Restore
cat-backup-devices,Category,Backup Devices
cat-backward-design,Category,Backward Design
cat-balance-sheet,Category,Balance Sheet
cat-bank-examination,Category,Bank Examination
cat-bank-reconciliations,Category,Bank Reconciliations
cat-banking,Category,Banking
cat-bankruptcies,Category,Bankruptcies
cat-basic-math,Category,Basic Math
cat-behavioral-science,Category,Behavioral Science
cat-benefits-administration,Category,Benefits Administration
cat-big-data,Category,Big Data
cat-big-data-management,Category,Big Data Management
cat-biological-systems,Category,Biological Systems
cat-blueprinting,Category,Blueprinting
cat-bookkeeping,Category,Bookkeeping
cat-border-gateway-protocol,Category,Border Gateway Protocol
cat-brand-awareness,Category,Brand Awareness
cat-brand-management,Category,Brand Management
cat-brand-marketing,Category,Brand Marketing
cat-brand-strategy,Category,Brand Strategy
cat-budgeting,Category,Budgeting
cat-business-acumen,Category,Business Acumen
cat-business-administration,Category,Business Administration
cat-business-analysis,Category,Business Analysis
cat-business-analytics,Category,Business Analytics
cat-business-communications,Category,Business Communications
cat-business-continuity-planning,Category,Business Continuity Planning
cat-business-development,Category,Business Development
cat-business-ethics,Category,Business Ethics
cat-business-forecasting,Category,Business Forecasting
cat-business-intelligence,Category,Business Intelligence
cat-business-intelligence-tools,Category,Business Intelligence Tools
cat-business-management,Category,Business Management
cat-business-networking,Category,Business Networking
cat-business-operations,Category,Business Operations
cat-business-planning,Category,Business Planning
cat-business-process,Category,Business Process
cat-business-process-management,Category,Business Process Management
cat-business-proposals,Category,Business Proposals
cat-business-requirements,Category,Business Requirements
cat-business-software,Category,Business Software
cat-business-strategies,Category,Business Strategies
cat-business-strategy,Category,Business Strategy
cat-business-systems,Category,Business Systems
cat-business-to-business,Category,Business to Business
cat-business-transformation,Category,Business Transformation
cat-c-programming-language,Category,C (Programming Language)
cat-calculus,Category,Calculus
cat-capacity-planning,Category,Capacity Planning
cat-cardiology,Category,Cardiology
cat-cardiopulmonary-resuscitation-cpr,Category,Cardiopulmonary Resuscitation (CPR)
cat-care-coordination,Category,Care Coordination
cat-care-delivery-models,Category,Care Delivery Models
cat-care-delivery-process,Category,Care Delivery Process
cat-care-planning,Category,Care Planning
cat-career-counseling,Category,Career Counseling
cat-career-development,Category,Career Development
cat-career-management,Category,Career Management
cat-caring-and-consideration,Category,Caring and Consideration
cat-cascading-style-sheets-css,Category,Cascading Style Sheets (CSS)
cat-case-management,Category,Case Management
cat-cash-flow-analysis,Category,Cash Flow Analysis
cat-cataloguing,Category,Cataloguing
cat-causal-inference,Category,Causal Inference
cat-certified-public-accountant,Category,Certified Public Accountant
cat-change-management,Category,Change Management
cat-chatbot,Category,Chatbot
cat-chemical-engineering,Category,Chemical Engineering
cat-chemical-hazards,Category,Chemical Hazards
cat-chemistry,Category,Chemistry
cat-civic-disposition,Category,Civic Disposition
cat-civic-engagement,Category,Civic Engagement
cat-civic-identity,Category,Civic Identity
cat-civil-engineering,Category,Civil Engineering
cat-classroom-management,Category,Classroom Management
cat-cleanliness,Category,Cleanliness
cat-client-rapport,Category,Client Rapport
cat-client-services,Category,Client Services
cat-climate-engineering,Category,Climate Engineering
cat-clinical-evaluation,Category,Clinical Evaluation
cat-clinical-leadership,Category,Clinical Leadership
cat-clinical-practices,Category,Clinical Practices
cat-clinical-reasoning,Category,Clinical Reasoning
