:ID,:LABEL,title,identifier
col-0292f1c7-f159-4dba-bc02-af8c06a6de7c,Collection,"Engineering Technologists and Technicians, Except Drafters_MAY.2023",0292f1c7-f159-4dba-bc02-af8c06a6de7c
col-030f7b64-dc12-4039-a1c4-5721b3f66435,Collection,English Composition,030f7b64-dc12-4039-a1c4-5721b3f66435
col-05e9bb2a-6d00-4798-9980-92a9c3b1ce79,Collection,Next Generation Teaching_Jan.2023,05e9bb2a-6d00-4798-9980-92a9c3b1ce79
col-0617346c-daf6-4b9a-9440-bf11b5479cd3,Collection,Melissa Search,0617346c-daf6-4b9a-9440-bf11b5479cd3
col-071090c2-1dc8-444c-808f-80c84ee1a308,Collection,Transferable Skills for Athletes,071090c2-1dc8-444c-808f-80c84ee1a308
col-075f8293-55c3-4332-bad7-1fc4340717a8,Collection,Skills On The Rise,075f8293-55c3-4332-bad7-1fc4340717a8
col-0924aecc-dcd9-4b10-b2f2-b2c8ccd1d825,Collection,Microcredential in Business Essentials_February.2022,0924aecc-dcd9-4b10-b2f2-b2c8ccd1d825
col-09d1720a-b651-4764-b5cd-045cd6deccce,Collection,Responsible Use of AI_Oct.2023,09d1720a-b651-4764-b5cd-045cd6deccce
col-09f17d00-1e68-4cab-b2f0-ab434433a694,Collection,Full Stack Engineers_Jul.2023,09f17d00-1e68-4cab-b2f0-ab434433a694
col-0bf3cc37-5f47-4418-879e-edc16b4048ea,Collection,15-1241 Computer Network Architects,0bf3cc37-5f47-4418-879e-edc16b4048ea
col-0cc9f846-0226-4ac7-b9d4-68a583da1dd5,Collection,"Integrative Competence in DEI, SEL, and Character_July.2023",0cc9f846-0226-4ac7-b9d4-68a583da1dd5
col-0d5ccab2-14e7-41ed-9588-601423cd7d18,Collection,Advertising and Promotions Managers_JAN.2023,0d5ccab2-14e7-41ed-9588-601423cd7d18
col-0e594bb4-9248-4904-b375-73eb3a32e462,Collection,Social Emotional Learning (SEL): Self Management_June.2023,0e594bb4-9248-4904-b375-73eb3a32e462
col-0eb4acd2-e5a3-45b1-a83d-e9f970e67856,Collection,Human Resource Managers_Feb.2023,0eb4acd2-e5a3-45b1-a83d-e9f970e67856
col-101dff66-19e2-4fec-a08b-e5339aeabc95,Collection,Healthcare Leadership_MAR.2023,101dff66-19e2-4fec-a08b-e5339aeabc95
col-10bb727d-ed10-40a7-b3b5-c3e1e39b128e,Collection,Software Developers and Software Quality Assurance Analysts and Testers_Dec.2022,10bb727d-ed10-40a7-b3b5-c3e1e39b128e
col-11407d42-2850-47b6-9b5d-ff4af0558232,Collection,Project Manager_May 2023,11407d42-2850-47b6-9b5d-ff4af0558232
col-13149384-53fc-4461-95eb-e9e51039ad85,Collection,Quality Assurance Coach_JUNE.2023,13149384-53fc-4461-95eb-e9e51039ad85
col-1315a842-f55b-473d-86cc-3d352d000152,Collection,Medical and Health Services Managers_February 2023,1315a842-f55b-473d-86cc-3d352d000152
col-131680ce-d0e3-495b-afe9-2fe6687261b0,Collection,Public Health Professional_September 2023,131680ce-d0e3-495b-afe9-2fe6687261b0
col-14b7b9db-1105-45b2-9db3-ef0fcaee4aee,Collection,Systems Engineer_May.2023,14b7b9db-1105-45b2-9db3-ef0fcaee4aee
col-14ed46a5-0c38-4fe8-ad2c-e2ba5a732f62,Collection,Nurse Practitioners_Jan.2023,14ed46a5-0c38-4fe8-ad2c-e2ba5a732f62
col-165caf24-1cf8-43e4-b4d5-383c3362b1de,Collection,Non-Profit Public Administration_Sept. 2023,165caf24-1cf8-43e4-b4d5-383c3362b1de
col-168fae01-783d-422e-8b9f-93b9dc9102ea,Collection,Computer Science_Oct.2023,168fae01-783d-422e-8b9f-93b9dc9102ea
col-17bcc3a9-1b47-4f7d-8161-3cf1165490f0,Collection,Computer Network Architects_APRIL.2023,17bcc3a9-1b47-4f7d-8161-3cf1165490f0
col-18044bc8-f4f9-491a-830b-f804dfcde2b7,Collection,Educational Administrators and Leaders: Postsecondary_Jan.2023,18044bc8-f4f9-491a-830b-f804dfcde2b7
col-1ab28c3a-569e-44cd-9245-18bfe7215fee,Collection,Remote Employees_Feb.2024,1ab28c3a-569e-44cd-9245-18bfe7215fee
col-1db79be3-ff33-4114-8449-e151aa9e6b25,Collection,Accountants and Auditors_Dec.2022,1db79be3-ff33-4114-8449-e151aa9e6b25
