:ID,:LABEL,prefLabel,identifier,status,created:datetime,issued:datetime,modified:datetime
rsd-00135ef4-f36e-4160-889a-c0ef45471e19,RichSkillDescriptor,Identify Healthcare Policies,00135ef4-f36e-4160-889a-c0ef45471e19,published,2022-01-31T16:54:40.492827+00:00,2022-01-31T17:01:43.309425+00:00,2023-05-23T22:13:45.447538+00:00
rsd-0014bc7c-c1a5-4c09-bbe0-f51630e9bac2,RichSkillDescriptor,Data Analysis Evidence Collection,0014bc7c-c1a5-4c09-bbe0-f51630e9bac2,published,2022-01-31T16:54:15.833315+00:00,2022-01-31T17:00:56.321264+00:00,2025-05-27T00:34:43.038065+00:00
rsd-001cede6-9d9e-4315-885e-4c76fedb39ec,RichSkillDescriptor,Monitor TCP/IP Performance,001cede6-9d9e-4315-885e-4c76fedb39ec,published,2023-05-16T19:52:40.869789+00:00,2023-05-16T19:53:16.491395+00:00,2025-05-28T18:12:20.241581+00:00
rsd-0023e5cb-6150-4021-b491-24b79e7c38e7,RichSkillDescriptor,Perform Basic Statistical Analyses,0023e5cb-6150-4021-b491-24b79e7c38e7,published,2023-02-23T21:54:17.159335+00:00,2023-02-24T17:32:01.823827+00:00,2023-02-24T17:32:01.823811+00:00
rsd-002f6581-d7c4-474e-8358-a378d26fa823,RichSkillDescriptor,Multi-Source Data Processing,002f6581-d7c4-474e-8358-a378d26fa823,published,2022-01-31T16:57:53.657730+00:00,2022-01-31T17:02:04.833711+00:00,2025-05-07T19:01:02.431221+00:00
rsd-004093a4-9e1b-492a-9d78-b7bef1e85409,RichSkillDescriptor,Infrastructure as a Service (IaaS) Implementation,004093a4-9e1b-492a-9d78-b7bef1e85409,published,2022-02-04T18:04:53.360133+00:00,2022-02-04T20:55:28.482981+00:00,2025-05-20T15:50:13.385977+00:00
rsd-004e9f70-0484-4808-a16b-bd32f2b15520,RichSkillDescriptor,Organizational Costs Monitoring,004e9f70-0484-4808-a16b-bd32f2b15520,published,2022-02-04T23:34:31.440575+00:00,2022-02-07T21:28:35.070337+00:00,2022-02-07T21:28:35.070331+00:00
rsd-005a545a-ff4d-4d3e-a584-f12df957529c,RichSkillDescriptor,Learning Communication Technologies Implementation,005a545a-ff4d-4d3e-a584-f12df957529c,published,2022-02-09T23:11:05.882371+00:00,2022-02-09T23:22:33.997318+00:00,2022-02-09T23:22:33.997309+00:00
rsd-0062b79a-c83c-40e2-a9da-290fb6f09647,RichSkillDescriptor,Accounting Systems Inspection,0062b79a-c83c-40e2-a9da-290fb6f09647,published,2022-02-03T00:17:12.158920+00:00,2022-02-03T00:38:18.447208+00:00,2025-04-17T17:49:04.037157+00:00
rsd-0071be14-1f16-4d5d-961e-4d3fd2db1dc4,RichSkillDescriptor,Collaborating on Education Law Evaluation,0071be14-1f16-4d5d-961e-4d3fd2db1dc4,published,2022-12-02T00:15:43.515725+00:00,2022-12-03T21:31:19.672195+00:00,2025-04-24T20:56:52.479698+00:00
