:ID,:LABEL,prefLabel,notation
std-0,Standard,0,0
std-aacc-advocacy,Standard,AACC_Advocacy,AACC_Advocacy
std-aacc-leadership,Standard,AACC_Leadership,AACC_Leadership
std-aacc-relationships,Standard,AACC_Relationships,AACC_Relationships
std-aacc-student-success,Standard,AACC_Student Success,AACC_Student Success
std-aacc-traits-abilities,Standard,AACC_Traits_Abilities,AACC_Traits_Abilities
std-aacn-essentials-domain-1,Standard,AACN_Essentials_Domain_1,AACN_Essentials_Domain_1
std-aacn-essentials-domain-10,Standard,AACN_Essentials_Domain_10,AACN_Essentials_Domain_10
std-aacn-essentials-domain-2,Standard,AACN_Essentials_Domain_2,AACN_Essentials_Domain_2
std-aacn-essentials-domain-3,Standard,AACN_Essentials_Domain_3,AACN_Essentials_Domain_3
std-aacn-essentials-domain-4,Standard,AACN_Essentials_Domain_4,AACN_Essentials_Domain_4
std-aacn-essentials-domain-5,Standard,AACN_Essentials_Domain_5,AACN_Essentials_Domain_5
std-aacn-essentials-domain-6,Standard,AACN_Essentials_Domain_6,AACN_Essentials_Domain_6
std-aacn-essentials-domain-7,Standard,AACN_Essentials_Domain_7,AACN_Essentials_Domain_7
std-aacn-essentials-domain-8,Standard,AACN_Essentials_Domain_8,AACN_Essentials_Domain_8
std-aacn-essentials-domain-9,Standard,AACN_Essentials_Domain_9,AACN_Essentials_Domain_9
std-aanp-fnp-task0101,Standard,AANP_FNP_Task0101,AANP_FNP_Task0101
std-aanp-fnp-task0102,Standard,AANP_FNP_Task0102,AANP_FNP_Task0102
std-aanp-fnp-task0201,Standard,AANP_FNP_Task0201,AANP_FNP_Task0201
std-aanp-fnp-task0202,Standard,AANP_FNP_Task0202,AANP_FNP_Task0202
std-aanp-fnp-task0301,Standard,AANP_FNP_Task0301,AANP_FNP_Task0301
std-aanp-fnp-task0401,Standard,AANP_FNP_Task0401,AANP_FNP_Task0401
std-aanp-fnp-task0402,Standard,AANP_FNP_Task0402,AANP_FNP_Task0402
std-aaqep-1a,Standard,AAQEP_1a,AAQEP_1a
std-aaqep-1b,Standard,AAQEP_1b,AAQEP_1b
std-aaqep-1c,Standard,AAQEP_1c,AAQEP_1c
std-aaqep-1d,Standard,AAQEP_1d,AAQEP_1d
std-aaqep-1e,Standard,AAQEP_1e,AAQEP_1e
std-aaqep-1f,Standard,AAQEP-1f,AAQEP-1f
std-aaqep-2a,Standard,AAQEP_2a,AAQEP_2a
std-aaqep-2b,Standard,AAQEP_2b,AAQEP_2b
std-aaqep-2c,Standard,AAQEP_2c,AAQEP_2c
std-aaqep-2d,Standard,AAQEP_2d,AAQEP_2d
std-aaqep-2e,Standard,AAQEP_2e,AAQEP_2e
std-aaqep-2f,Standard,AAQEP_2f,AAQEP_2f
std-aaqep-3a,Standard,AAQEP_3a,AAQEP_3a
std-aaqep-3b,Standard,AAQEP_3b,AAQEP_3b
std-aaqep-3c,Standard,AAQEP_3c,AAQEP_3c
std-aaqep-3d,Standard,AAQEP_3d,AAQEP_3d
std-aaqep-3e,Standard,AAQEP_3e,AAQEP_3e
std-aaqep-3f,Standard,AAQEP_3f,AAQEP_3f
std-aaqep-4b,Standard,AAQEP_4b,AAQEP_4b
std-ache-1a1,Standard,ACHE_1A1,ACHE_1A1
std-ache-1a2,Standard,ACHE_1A2,ACHE_1A2
std-ache-1a3,Standard,ACHE_1A3,ACHE_1A3
std-ache-1b1,Standard,ACHE_1B1,ACHE_1B1
std-ache-1b2,Standard,ACHE_1B2,ACHE_1B2
std-ache-1b3,Standard,ACHE_1B3,ACHE_1B3
std-ache-1c1,Standard,ACHE_1C1,ACHE_1C1
std-ache-1c2,Standard,ACHE_1C2,ACHE_1C2
std-ache-1d1,Standard,ACHE_1D1,ACHE_1D1
std-ache-2a1,Standard,ACHE_2A1,ACHE_2A1
std-ache-2a2,Standard,ACHE_2A2,ACHE_2A2
std-ache-2a3,Standard,ACHE_2A3,ACHE_2A3
std-ache-2b1,Standard,ACHE_2B1,ACHE_2B1
std-ache-2b2,Standard,ACHE_2B2,ACHE_2B2
std-ache-2b3,Standard,ACHE_2B3,ACHE_2B3
std-ache-2b4,Standard,ACHE_2B4,ACHE_2B4
std-ache-2b5,Standard,ACHE_2B5,ACHE_2B5
std-ache-2c1,Standard,ACHE_2C1,ACHE_2C1
std-ache-2c2,Standard,ACHE_2C2,ACHE_2C2
std-ache-2c3,Standard,ACHE_2C3,ACHE_2C3
std-ache-3a1,Standard,ACHE_3A1,ACHE_3A1
std-ache-3a2,Standard,ACHE_3A2,ACHE_3A2
std-ache-3a3,Standard,ACHE_3A3,ACHE_3A3
std-ache-3a4,Standard,ACHE_3A4,ACHE_3A4
std-ache-3a5,Standard,ACHE_3A5,ACHE_3A5
std-ache-3a6,Standard,ACHE_3A6,ACHE_3A6
std-ache-3b1,Standard,ACHE_3B1,ACHE_3B1
std-ache-3c2,Standard,ACHE_3C2,ACHE_3C2
std-ache-3d1,Standard,ACHE_3D1,ACHE_3D1
std-ache-3d2,Standard,ACHE_3D2,ACHE_3D2
std-ache-3e1,Standard,ACHE_3E1,ACHE_3E1
std-ache-3e2,Standard,ACHE_3E2,ACHE_3E2
std-ache-4a1,Standard,ACHE_4A1,ACHE_4A1
std-ache-4a3,Standard,ACHE_4A3,ACHE_4A3
std-ache-4a4,Standard,ACHE_4A4,ACHE_4A4
std-ache-4a5,Standard,ACHE_4A5,ACHE_4A5
std-ache-4b1,Standard,ACHE_4B1,ACHE_4B1
std-ache-4c1,Standard,ACHE_4C1,ACHE_4C1
std-ache-4c2,Standard,ACHE_4C2,ACHE_4C2
std-ache-4d1,Standard,ACHE_4D1,ACHE_4D1
std-ache-4d2,Standard,ACHE_4D2,ACHE_4D2
std-ache-4d3,Standard,ACHE_4D3,ACHE_4D3
std-ache-4d4,Standard,ACHE_4D4,ACHE_4D4
std-ache-4d5,Standard,ACHE_4D5,ACHE_4D5
std-ache-5a1,Standard,ACHE_5A1,ACHE_5A1
std-ache-5a2,Standard,ACHE_5A2,ACHE_5A2
std-ache-5b1,Standard,ACHE_5B1,ACHE_5B1
std-ache-5c1,Standard,ACHE_5C1,ACHE_5C1
std-ache-5c2,Standard,ACHE_5C2,ACHE_5C2
std-ache-5c3,Standard,ACHE_5C3,ACHE_5C3
std-ache-5d1,Standard,ACHE_5D1,ACHE_5D1
std-ache-5d2,Standard,ACHE_5D2,ACHE_5D2
std-ache-5e1,Standard,ACHE_5E1,ACHE_5E1
std-ache-5e2,Standard,ACHE_5E2,ACHE_5E2
std-ache-5e3,Standard,ACHE_5E3,ACHE_5E3
std-ache-5e4,Standard,ACHE_5E4,ACHE_5E4
std-ache-5e6,Standard,ACHE_5E6,ACHE_5E6
std-ache-5f1,Standard,ACHE_5F1,ACHE_5F1
std-ache-5f2,Standard,ACHE_5F2,ACHE_5F2
std-ache-5f3,Standard,ACHE_5F3,ACHE_5F3
std-ache-5f4,Standard,ACHE_5F4,ACHE_5F4
std-ache-5f5,Standard,ACHE_5F5,ACHE_5F5
std-ache-5g1,Standard,ACHE_5G1,ACHE_5G1
std-ache-5g2,Standard,ACHE_5G2,ACHE_5G2
std-ache-5g3,Standard,ACHE_5G3,ACHE_5G3
std-ache-5g4,Standard,ACHE_5G4,ACHE_5G4
std-ache-5h1,Standard,ACHE_5H1,ACHE_5H1
std-ache-5i1,Standard,ACHE_5I1,ACHE_5I1
std-ache-5i2,Standard,ACHE_5I2,ACHE_5I2
std-ache-5j2,Standard,ACHE_5J2,ACHE_5J2
std-ache-5k1,Standard,ACHE_5K1,ACHE_5K1
std-ache-5k2,Standard,ACHE_5K2,ACHE_5K2
std-ache-5k3,Standard,ACHE_5K3,ACHE_5K3
std-aclc-1,Standard,ACLC_1,ACLC_1
std-aclc-2,Standard,ACLC_2,ACLC_2
std-aclc-3,Standard,ACLC_3,ACLC_3
std-aclc-4,Standard,ACLC_4,ACLC_4
std-aclc-5,Standard,ACLC_5,ACLC_5
std-aclc-6,Standard,ACLC_6,ACLC_6
std-aclc-7,Standard,ACLC_7,ACLC_7
std-ahima-ahic-k001,Standard,AHIMA_AHIC_K001,AHIMA_AHIC_K001
std-ahima-ahic-k002,Standard,AHIMA_AHIC_K002,AHIMA_AHIC_K002
std-ahima-ahic-k003,Standard,AHIMA_AHIC_K003,AHIMA_AHIC_K003
std-ahima-ahic-k004,Standard,AHIMA_AHIC_K004,AHIMA_AHIC_K004
std-ahima-ahic-k005,Standard,AHIMA_AHIC_K005,AHIMA_AHIC_K005
std-ahima-ahic-k007,Standard,AHIMA_AHIC_K007,AHIMA_AHIC_K007
std-ahima-ahic-k008,Standard,AHIMA_AHIC_K008,AHIMA_AHIC_K008
std-ahima-ahic-k009,Standard,AHIMA_AHIC_K009,AHIMA_AHIC_K009
std-ahima-ahic-k010,Standard,AHIMA_AHIC_K010,AHIMA_AHIC_K010
std-ahima-ahic-k012,Standard,AHIMA_AHIC_K012,AHIMA_AHIC_K012
std-ahima-ahic-k013,Standard,AHIMA_AHIC_K013,AHIMA_AHIC_K013
std-ahima-ahic-k014,Standard,AHIMA_AHIC_K014,AHIMA_AHIC_K014
