:START_ID,:END_ID,:TYPE
bls-11-1010,bls-11-0000,PART_OF
bls-11-1010,bls-11-1000,PART_OF
bls-11-1011,bls-11-0000,PART_OF
bls-11-1011,bls-11-1000,PART_OF
bls-11-1011,bls-11-1010,PART_OF
bls-11-1011.00,bls-11-0000,PART_OF
bls-11-1011.00,bls-11-1000,PART_OF
bls-11-1011.00,bls-11-1010,PART_OF
bls-11-1011.00,bls-11-1011,PART_OF
bls-11-1020,bls-11-0000,PART_OF
bls-11-1020,bls-11-1000,PART_OF
bls-11-1021,bls-11-0000,PART_OF
bls-11-1021,bls-11-1000,PART_OF
bls-11-1021,bls-11-1020,PART_OF
bls-11-1021.00,bls-11-0000,PART_OF
bls-11-1021.00,bls-11-1000,PART_OF
bls-11-1021.00,bls-11-1020,PART_OF
bls-11-1021.00,bls-11-1021,PART_OF
bls-11-2000,bls-11-0000,PART_OF
bls-11-2010,bls-11-0000,PART_OF
bls-11-2010,bls-11-2000,PART_OF
bls-11-2011,bls-11-0000,PART_OF
bls-11-2011,bls-11-2000,PART_OF
bls-11-2011,bls-11-2010,PART_OF
bls-11-2011.00,bls-11-0000,PART_OF
bls-11-2011.00,bls-11-2000,PART_OF
bls-11-2011.00,bls-11-2010,PART_OF
bls-11-2011.00,bls-11-2011,PART_OF
bls-11-2020,bls-11-0000,PART_OF
bls-11-2020,bls-11-2000,PART_OF
bls-11-2021,bls-11-0000,PART_OF
bls-11-2021,bls-11-2000,PART_OF
bls-11-2021,bls-11-2020,PART_OF
bls-11-2021.00,bls-11-0000,PART_OF
bls-11-2021.00,bls-11-2000,PART_OF
bls-11-2021.00,bls-11-2020,PART_OF
bls-11-2021.00,bls-11-2021,PART_OF
bls-11-2022,bls-11-0000,PART_OF
bls-11-2022,bls-11-2000,PART_OF
bls-11-2022,bls-11-2020,PART_OF
bls-11-2022.00,bls-11-0000,PART_OF
bls-11-2022.00,bls-11-2000,PART_OF
bls-11-2022.00,bls-11-2020,PART_OF
bls-11-2022.00,bls-11-2022,PART_OF
bls-11-2030,bls-11-0000,PART_OF
bls-11-2030,bls-11-2000,PART_OF
bls-11-2032,bls-11-0000,PART_OF
bls-11-2032,bls-11-2000,PART_OF
bls-11-2032,bls-11-2030,PART_OF
bls-11-2033,bls-11-0000,PART_OF
bls-11-2033,bls-11-2000,PART_OF
bls-11-2033,bls-11-2030,PART_OF
bls-11-3010,bls-11-0000,PART_OF
bls-11-3010,bls-11-3000,PART_OF
bls-11-3012,bls-11-0000,PART_OF
bls-11-3012,bls-11-3000,PART_OF
bls-11-3012,bls-11-3010,PART_OF
bls-11-3012.00,bls-11-0000,PART_OF
bls-11-3012.00,bls-11-3000,PART_OF
bls-11-3012.00,bls-11-3010,PART_OF
bls-11-3012.00,bls-11-3012,PART_OF
bls-11-3013,bls-11-0000,PART_OF
bls-11-3013,bls-11-3000,PART_OF
bls-11-3013,bls-11-3010,PART_OF
bls-11-3020,bls-11-0000,PART_OF
bls-11-3020,bls-11-3000,PART_OF
bls-11-3021,bls-11-0000,PART_OF
bls-11-3021,bls-11-3000,PART_OF
bls-11-3021,bls-11-3020,PART_OF
bls-11-3021.00,bls-11-0000,PART_OF
bls-11-3021.00,bls-11-3000,PART_OF
bls-11-3021.00,bls-11-3020,PART_OF
bls-11-3021.00,bls-11-3021,PART_OF
bls-11-3030,bls-11-0000,PART_OF
bls-11-3030,bls-11-3000,PART_OF
bls-11-3031,bls-11-0000,PART_OF
bls-11-3031,bls-11-3000,PART_OF
bls-11-3031,bls-11-3030,PART_OF
bls-11-3031.00,bls-11-0000,PART_OF
bls-11-3031.00,bls-11-3000,PART_OF
bls-11-3031.00,bls-11-3030,PART_OF
bls-11-3031.00,bls-11-3031,PART_OF
bls-11-3031.02,bls-11-0000,PART_OF
bls-11-3031.02,bls-11-3000,PART_OF
bls-11-3050,bls-11-0000,PART_OF
bls-11-3050,bls-11-3000,PART_OF
bls-11-3051,bls-11-0000,PART_OF
bls-11-3051,bls-11-3000,PART_OF
bls-11-3051,bls-11-3050,PART_OF
bls-11-3051.00,bls-11-0000,PART_OF
bls-11-3051.00,bls-11-3000,PART_OF
bls-11-3051.00,bls-11-3050,PART_OF
bls-11-3051.00,bls-11-3051,PART_OF
bls-11-3060,bls-11-0000,PART_OF
bls-11-3060,bls-11-3000,PART_OF
bls-11-3061,bls-11-0000,PART_OF
bls-11-3061,bls-11-3000,PART_OF
bls-11-3061,bls-11-3060,PART_OF
bls-11-3070,bls-11-0000,PART_OF
bls-11-3070,bls-11-3000,PART_OF
bls-11-3071,bls-11-0000,PART_OF
bls-11-3071,bls-11-3000,PART_OF
bls-11-3071,bls-11-3070,PART_OF
bls-11-3071.00,bls-11-0000,PART_OF
bls-11-3071.00,bls-11-3000,PART_OF
bls-11-3071.00,bls-11-3070,PART_OF
bls-11-3071.00,bls-11-3071,PART_OF
bls-11-3071.03,bls-11-0000,PART_OF
bls-11-3071.03,bls-11-3000,PART_OF
bls-11-3071.04,bls-11-0000,PART_OF
bls-11-3071.04,bls-11-3000,PART_OF
bls-11-3071.04,bls-11-3070,PART_OF
bls-11-3071.04,bls-11-3071,PART_OF
bls-11-3110,bls-11-0000,PART_OF
bls-11-3110,bls-11-3000,PART_OF
bls-11-3111,bls-11-0000,PART_OF
bls-11-3111,bls-11-3000,PART_OF
bls-11-3111,bls-11-3110,PART_OF
bls-11-3111.00,bls-11-0000,PART_OF
bls-11-3111.00,bls-11-3000,PART_OF
bls-11-3111.00,bls-11-3110,PART_OF
bls-11-3111.00,bls-11-3111,PART_OF
bls-11-3120,bls-11-0000,PART_OF
bls-11-3120,bls-11-3000,PART_OF
bls-11-3121,bls-11-0000,PART_OF
bls-11-3121,bls-11-3000,PART_OF
bls-11-3121,bls-11-3120,PART_OF
bls-11-3121.00,bls-11-0000,PART_OF
bls-11-3121.00,bls-11-3000,PART_OF
bls-11-3121.00,bls-11-3120,PART_OF
bls-11-3121.00,bls-11-3121,PART_OF
bls-11-3130,bls-11-0000,PART_OF
bls-11-3130,bls-11-3000,PART_OF
bls-11-3131,bls-11-0000,PART_OF
bls-11-3131,bls-11-3000,PART_OF
bls-11-3131,bls-11-3130,PART_OF
bls-11-3131.00,bls-11-0000,PART_OF
bls-11-3131.00,bls-11-3000,PART_OF
bls-11-3131.00,bls-11-3130,PART_OF
bls-11-3131.00,bls-11-3131,PART_OF
bls-11-9010,bls-11-0000,PART_OF
bls-11-9010,bls-11-9000,PART_OF
bls-11-9020,bls-11-0000,PART_OF
bls-11-9020,bls-11-9000,PART_OF
bls-11-9021,bls-11-0000,PART_OF
bls-11-9021,bls-11-9000,PART_OF
bls-11-9021,bls-11-9020,PART_OF
bls-11-9021.00,bls-11-0000,PART_OF
bls-11-9021.00,bls-11-9000,PART_OF
bls-11-9021.00,bls-11-9020,PART_OF
bls-11-9021.00,bls-11-9021,PART_OF
bls-11-9030,bls-11-0000,PART_OF
bls-11-9030,bls-11-9000,PART_OF
bls-11-9031,bls-11-0000,PART_OF
bls-11-9031,bls-11-9000,PART_OF
bls-11-9031,bls-11-9030,PART_OF
bls-11-9032,bls-11-0000,PART_OF
bls-11-9032,bls-11-9000,PART_OF
bls-11-9032,bls-11-9030,PART_OF
bls-11-9033,bls-11-0000,PART_OF
bls-11-9033,bls-11-9000,PART_OF
bls-11-9033,bls-11-9030,PART_OF
bls-11-9039,bls-11-0000,PART_OF
bls-11-9039,bls-11-9000,PART_OF
bls-11-9039,bls-11-9030,PART_OF
bls-11-9110,bls-11-0000,PART_OF
bls-11-9110,bls-11-9000,PART_OF
bls-11-9111,bls-11-0000,PART_OF
bls-11-9111,bls-11-9000,PART_OF
bls-11-9111,bls-11-9110,PART_OF
bls-11-9150,bls-11-0000,PART_OF
bls-11-9150,bls-11-9000,PART_OF
bls-11-9151,bls-11-0000,PART_OF
bls-11-9151,bls-11-9000,PART_OF
bls-11-9151,bls-11-9150,PART_OF
