:START_ID,:END_ID,:TYPE
rsd-00135ef4-f36e-4160-889a-c0ef45471e19,align-ks124mz6pg6bwhhr2f51,HAS_ALIGNMENT
rsd-0014bc7c-c1a5-4c09-bbe0-f51630e9bac2,align-data-analysis,HAS_ALIGNMENT
rsd-001cede6-9d9e-4315-885e-4c76fedb39ec,align-ks4417n61db04000s10c,HAS_ALIGNMENT
rsd-0023e5cb-6150-4021-b491-24b79e7c38e7,align-esfa9982a2a945e439cb,HAS_ALIGNMENT
rsd-002f6581-d7c4-474e-8358-a378d26fa823,align-business-intelligence,HAS_ALIGNMENT
rsd-004093a4-9e1b-492a-9d78-b7bef1e85409,align-infrastructure-as-a-service-iaas,HAS_ALIGNMENT
rsd-004e9f70-0484-4808-a16b-bd32f2b15520,align-ks128706027zkkjkhn29,HAS_ALIGNMENT
rsd-005a545a-ff4d-4d3e-a584-f12df957529c,align-ks440pv6frj90x0qfnly,HAS_ALIGNMENT
rsd-0062b79a-c83c-40e2-a9da-290fb6f09647,align-accounting,HAS_ALIGNMENT
rsd-0071be14-1f16-4d5d-961e-4d3fd2db1dc4,align-regulatory-compliance,HAS_ALIGNMENT
rsd-0079b4fe-6f25-45e5-a6bd-db3e0c2345c8,align-ks1219b681x3j9mk0kph,HAS_ALIGNMENT
rsd-007d0952-5c9c-4cc3-94b6-7f67b5f56bb6,align-ks4415s6q3q6jpvt2p33,HAS_ALIGNMENT
rsd-0082afb7-f930-41af-a97d-d92b59dcc2ee,align-ks124my5y0gkq65jhmz6,HAS_ALIGNMENT
rsd-0085da60-8d6b-49c9-b44f-51becf6051f1,align-ks122pr6nqsp5dx6gkpw,HAS_ALIGNMENT
rsd-0095c197-0568-4b86-8c54-dec7b5d6eaf9,align-es8c087d7ee8b81da9c0,HAS_ALIGNMENT
rsd-009ebfb7-798d-42be-8140-da8546dae5ad,align-ks127d361pf0ftxdz7c4,HAS_ALIGNMENT
rsd-00a35b9f-215b-434c-829d-3795b9697da4,align-ks1225562lzsjshjcj2t,HAS_ALIGNMENT
rsd-00a986bb-3589-4f4c-83c3-98f1b39b7adb,align-ksbz9lw988kc56i219sp,HAS_ALIGNMENT
rsd-00c1775f-4542-42bd-8f42-13a90425c1e4,align-showpdf,HAS_ALIGNMENT
rsd-00d3cbb6-660b-432c-9cad-d63e330740ce,align-ks1267f6mspn366lx7st,HAS_ALIGNMENT
rsd-00d7182f-d895-4231-a784-82e41ce44f46,align-incident-response,HAS_ALIGNMENT
rsd-00e1be83-5358-4a4a-97b8-ef9e8d84937c,align-risk-management,HAS_ALIGNMENT
rsd-00e34dcc-ed09-4f75-8aa1-b9bedda47be1,align-kskjx44t33b6d4ucc8cb,HAS_ALIGNMENT
rsd-00f405b7-5e76-45ed-9fd9-5d43214b38c0,align-ks122pl70d99vrwmfm2t,HAS_ALIGNMENT
rsd-00fa7cbe-f084-46c5-841a-0b4752ac1fed,align-needs-assessment,HAS_ALIGNMENT
rsd-00faff89-85e6-4513-b7e9-335c25653dd7,align-human-subject-research,HAS_ALIGNMENT
rsd-01027a35-ef70-4ae0-b3a9-792e6be93231,align-ks122f16shsgpxszcz7m,HAS_ALIGNMENT
rsd-01064d92-0ca6-4f25-9b14-21b0683f4379,align-showpdf,HAS_ALIGNMENT
rsd-010a7373-5f9b-4335-8513-67dca13b520b,align-patient-advocacy,HAS_ALIGNMENT
rsd-01115942-9c28-4c02-8a48-3bed857394dd,align-ks1203w6419rjg2kw4qs,HAS_ALIGNMENT
rsd-01137951-a021-4dea-8d0b-f9edbc6facab,align-ks1203c6n9b52qgb4h67,HAS_ALIGNMENT
rsd-011387dc-df42-40ec-9c09-053333ea690e,align-human-resource-management,HAS_ALIGNMENT
rsd-011a68f4-84f0-45eb-ba4a-d311eaf667eb,align-construction,HAS_ALIGNMENT
rsd-0120a6e6-b3f9-40fa-907a-08ef94905e37,align-ks120gv6c72jmszkmtd7,HAS_ALIGNMENT
rsd-01216145-8c0d-45bc-aa1d-e07f5b3de3ae,align-ks123r966z5r6d81xzk4,HAS_ALIGNMENT
rsd-01420222-3838-42b3-a646-6203ccd2aa5a,align-ks440hg71dhmzx7fdnh9,HAS_ALIGNMENT
rsd-01439278-96ab-401b-8394-868239f6bc97,align-ks1203m5x6lqvsrtw88j,HAS_ALIGNMENT
rsd-0144a1c1-a043-4923-98d8-7dc417275e06,align-artificial-intelligence,HAS_ALIGNMENT
rsd-01460daa-f652-4032-9b01-fb714af5c27a,align-n-a-wgu-skill,HAS_ALIGNMENT
rsd-0162c9ae-ffc9-4daa-97c4-fe54b6a1934f,align-financial-accounting,HAS_ALIGNMENT
rsd-017505d4-562c-4fff-b1ca-685f6bec0bd7,align-ks121326hqq7xjqmmpld,HAS_ALIGNMENT
rsd-017fd2cd-960a-4d2b-9ac7-dfd87f7075cb,align-ks125zb6bwf5ry40bh1b,HAS_ALIGNMENT
rsd-01851abf-54bf-4b05-a098-0f081d6f798d,align-quality-assurance,HAS_ALIGNMENT
rsd-01853178-ce09-4eee-9bd3-091c1ff89bb6,align-ks7g7x55zkbf0r0wcszq,HAS_ALIGNMENT
rsd-0188b1bd-1058-49a8-8f4c-c819dbe09eb1,align-ks1254m6n7pz96mgr0l,HAS_ALIGNMENT
rsd-018b5696-0802-4c6c-a254-e8f3b88b093c,align-risk-management,HAS_ALIGNMENT
rsd-018d9f8b-3e5c-48e5-a7c5-1ae8899efa57,align-ks4415b77wwh2wcsvhcv,HAS_ALIGNMENT
rsd-01900cf7-5ebe-408a-b6a7-63b252a71f41,align-business-intelligence,HAS_ALIGNMENT
rsd-019458b1-50ed-4fe3-991c-7fb6bf770aa9,align-strategic-planning,HAS_ALIGNMENT
rsd-019b7f1f-c793-46c1-884b-8c1f0ce8a713,align-ks124rh6ds37jh65w5d8,HAS_ALIGNMENT
rsd-019bd54c-4e94-406b-b4fe-5b9af4c4d5f1,align-ks126x26zwsblw188t04,HAS_ALIGNMENT
rsd-01a97e5b-0f57-41d5-bfa9-143596feace6,align-ks122yn6108r0rsdxxrc,HAS_ALIGNMENT
rsd-01b7c786-4fed-44fb-880c-b99efb93a8fb,align-ks120626hmwcxjwjc7vk,HAS_ALIGNMENT
rsd-01b893ae-a773-4759-a384-31b4de296a5a,align-ks124fp642q7p7tbppzn,HAS_ALIGNMENT
rsd-01b8fa2b-cb0f-4b20-80fa-f9672c0abeaf,align-ks123x777h5wfnxq6bpm,HAS_ALIGNMENT
rsd-01bcaf89-85bd-46f9-ab45-ccec843254bc,align-ks125zb6bwf5ry40bh1b,HAS_ALIGNMENT
