:START_ID,:END_ID,:TYPE
rsd-00135ef4-f36e-4160-889a-c0ef45471e19,cat-health-policies,HAS_CATEGORY
rsd-0014bc7c-c1a5-4c09-bbe0-f51630e9bac2,cat-data-analysis,HAS_CATEGORY
rsd-001cede6-9d9e-4315-885e-4c76fedb39ec,cat-tcp-ip,HAS_CATEGORY
rsd-0023e5cb-6150-4021-b491-24b79e7c38e7,cat-analytical-skills,HAS_CATEGORY
rsd-002f6581-d7c4-474e-8358-a378d26fa823,cat-business-intelligence,HAS_CATEGORY
rsd-004093a4-9e1b-492a-9d78-b7bef1e85409,cat-infrastructure-as-a-service-iaas,HAS_CATEGORY
rsd-004e9f70-0484-4808-a16b-bd32f2b15520,cat-public-policies,HAS_CATEGORY
rsd-005a545a-ff4d-4d3e-a584-f12df957529c,cat-social-media,HAS_CATEGORY
rsd-0062b79a-c83c-40e2-a9da-290fb6f09647,cat-accounting,HAS_CATEGORY
rsd-0071be14-1f16-4d5d-961e-4d3fd2db1dc4,cat-regulatory-compliance,HAS_CATEGORY
rsd-0079b4fe-6f25-45e5-a6bd-db3e0c2345c8,cat-business-systems,HAS_CATEGORY
rsd-007d0952-5c9c-4cc3-94b6-7f67b5f56bb6,cat-systems-thinking,HAS_CATEGORY
rsd-0082afb7-f930-41af-a97d-d92b59dcc2ee,cat-health-intervention,HAS_CATEGORY
rsd-0085da60-8d6b-49c9-b44f-51becf6051f1,cat-data-presentation,HAS_CATEGORY
rsd-0095c197-0568-4b86-8c54-dec7b5d6eaf9,cat-talent-management,HAS_CATEGORY
rsd-009ebfb7-798d-42be-8140-da8546dae5ad,cat-operations,HAS_CATEGORY
rsd-00a35b9f-215b-434c-829d-3795b9697da4,cat-communicable-diseases,HAS_CATEGORY
rsd-00a986bb-3589-4f4c-83c3-98f1b39b7adb,cat-deep-learning,HAS_CATEGORY
rsd-00c1775f-4542-42bd-8f42-13a90425c1e4,cat-financial-reporting,HAS_CATEGORY
rsd-00d3cbb6-660b-432c-9cad-d63e330740ce,cat-project-management,HAS_CATEGORY
rsd-00d7182f-d895-4231-a784-82e41ce44f46,cat-incident-response,HAS_CATEGORY
rsd-00e1be83-5358-4a4a-97b8-ef9e8d84937c,cat-risk-management,HAS_CATEGORY
rsd-00e34dcc-ed09-4f75-8aa1-b9bedda47be1,cat-teamwork,HAS_CATEGORY
rsd-00f405b7-5e76-45ed-9fd9-5d43214b38c0,cat-data-mining,HAS_CATEGORY
rsd-00fa7cbe-f084-46c5-841a-0b4752ac1fed,cat-learning-aids,HAS_CATEGORY
rsd-00faff89-85e6-4513-b7e9-335c25653dd7,cat-human-research-protections,HAS_CATEGORY
rsd-01027a35-ef70-4ae0-b3a9-792e6be93231,cat-corporate-communications,HAS_CATEGORY
rsd-01064d92-0ca6-4f25-9b14-21b0683f4379,cat-financial-reporting,HAS_CATEGORY
rsd-010a7373-5f9b-4335-8513-67dca13b520b,cat-patient-advocacy,HAS_CATEGORY
rsd-01115942-9c28-4c02-8a48-3bed857394dd,cat-accounts-receivable,HAS_CATEGORY
rsd-01137951-a021-4dea-8d0b-f9edbc6facab,cat-research,HAS_CATEGORY
rsd-011387dc-df42-40ec-9c09-053333ea690e,cat-human-resource-management,HAS_CATEGORY
rsd-011a68f4-84f0-45eb-ba4a-d311eaf667eb,cat-construction,HAS_CATEGORY
rsd-0120a6e6-b3f9-40fa-907a-08ef94905e37,cat-data-analysis,HAS_CATEGORY
rsd-01216145-8c0d-45bc-aa1d-e07f5b3de3ae,cat-experiential-learning,HAS_CATEGORY
rsd-01420222-3838-42b3-a646-6203ccd2aa5a,cat-service-level-agreement,HAS_CATEGORY
rsd-01439278-96ab-401b-8394-868239f6bc97,cat-access-network,HAS_CATEGORY
rsd-0144a1c1-a043-4923-98d8-7dc417275e06,cat-artificial-intelligence-ai,HAS_CATEGORY
rsd-01460daa-f652-4032-9b01-fb714af5c27a,cat-customer-billing,HAS_CATEGORY
rsd-0162c9ae-ffc9-4daa-97c4-fe54b6a1934f,cat-financial-accounting,HAS_CATEGORY
rsd-017505d4-562c-4fff-b1ca-685f6bec0bd7,cat-online-advertising,HAS_CATEGORY
rsd-017fd2cd-960a-4d2b-9ac7-dfd87f7075cb,cat-risk-management,HAS_CATEGORY
rsd-01851abf-54bf-4b05-a098-0f081d6f798d,cat-quality-assurance,HAS_CATEGORY
rsd-01853178-ce09-4eee-9bd3-091c1ff89bb6,cat-consolidation,HAS_CATEGORY
rsd-0188b1bd-1058-49a8-8f4c-c819dbe09eb1,cat-information-security-management,HAS_CATEGORY
rsd-018b5696-0802-4c6c-a254-e8f3b88b093c,cat-risk-management,HAS_CATEGORY
rsd-018d9f8b-3e5c-48e5-a7c5-1ae8899efa57,cat-systems-design,HAS_CATEGORY
rsd-01900cf7-5ebe-408a-b6a7-63b252a71f41,cat-business-intelligence,HAS_CATEGORY
rsd-019458b1-50ed-4fe3-991c-7fb6bf770aa9,cat-strategic-planning,HAS_CATEGORY
rsd-019b7f1f-c793-46c1-884b-8c1f0ce8a713,cat-home-care,HAS_CATEGORY
rsd-019bd54c-4e94-406b-b4fe-5b9af4c4d5f1,cat-needs-analysis,HAS_CATEGORY
rsd-01a97e5b-0f57-41d5-bfa9-143596feace6,cat-digital-marketing,HAS_CATEGORY
rsd-01b7c786-4fed-44fb-880c-b99efb93a8fb,cat-adaptability,HAS_CATEGORY
rsd-01b893ae-a773-4759-a384-31b4de296a5a,cat-search-engine-optimization,HAS_CATEGORY
rsd-01b8fa2b-cb0f-4b20-80fa-f9672c0abeaf,cat-sales,HAS_CATEGORY
rsd-01bcaf89-85bd-46f9-ab45-ccec843254bc,cat-risk-management,HAS_CATEGORY
rsd-01cd8500-1ff9-44b6-bba1-68bfc3d27f6d,cat-initiative,HAS_CATEGORY
rsd-01d91789-181f-4d7a-bb90-939257f15ca7,cat-instructional-design,HAS_CATEGORY
rsd-01ddb24f-b10f-4dc2-afb3-bb2353601572,cat-criminology,HAS_CATEGORY
rsd-01ebf689-a508-4c01-bb32-d399ba113ee2,cat-market-research,HAS_CATEGORY
rsd-01f845e1-b106-4675-b3ca-8235d74cee33,cat-written-communication,HAS_CATEGORY
rsd-020662fc-a086-4eba-a58c-7e58eefe8fae,cat-network-security,HAS_CATEGORY
rsd-020a007c-4b9b-4b66-9401-8c8ccde93476,cat-mindset,HAS_CATEGORY
rsd-020c8b55-d23c-446b-977f-2a283951fa85,cat-innovation,HAS_CATEGORY
rsd-021156db-a00f-4d08-9ab2-cd0a8b0618be,cat-presentations,HAS_CATEGORY
rsd-0212ce2a-faf9-4a4f-9e2e-76788d723ab9,cat-technological-literacy,HAS_CATEGORY
rsd-0219bebf-b052-4f49-9a30-23f67057bb30,cat-relationship-building,HAS_CATEGORY
rsd-021bd08e-7507-49c7-926d-030c19199244,cat-dod-information-assurance-certification-and-accreditation-process-diacap,HAS_CATEGORY
rsd-021ce8d5-88f7-4265-b7c5-a00f40ef6404,cat-business-administration,HAS_CATEGORY
rsd-02213f1a-8ae7-4f13-b124-f6d26fb7d25a,cat-brand-management,HAS_CATEGORY
rsd-022180b9-6f75-4c4c-8021-697708cf99f0,cat-strategic-planning,HAS_CATEGORY
rsd-0232e70f-7990-42a5-b65d-08b9d11dc0ae,cat-sales-strategy,HAS_CATEGORY
rsd-02426211-5ff5-4fd4-9816-ab9e43bda126,cat-education-software-and-technology,HAS_CATEGORY
rsd-024a7d47-a39e-4ec0-a308-259af166aef0,cat-teamwork,HAS_CATEGORY
rsd-024cec9c-637b-4067-8adb-9e2b090091d9,cat-preventive-maintenance,HAS_CATEGORY
rsd-024ee3c7-b6d4-4ac5-a933-e83f601f5d6e,cat-data-governance,HAS_CATEGORY
rsd-0251be17-ba41-467d-9e61-aed9295f3ebe,cat-data-integrity,HAS_CATEGORY
rsd-02528ca9-5f2c-4181-8d84-ba39e92b2228,cat-student-centered-learning,HAS_CATEGORY
rsd-0260f6a9-877e-4d91-b1ca-0f5f8c274a5b,cat-thought-leadership,HAS_CATEGORY
rsd-0264cec2-3af9-48b4-b990-e6bf8889e3eb,cat-problem-solving,HAS_CATEGORY
rsd-0266732b-06c6-4325-88c7-b60130157888,cat-data-analysis,HAS_CATEGORY
rsd-0266ba48-f6de-4d3a-9304-8a0536934e0b,cat-business-process,HAS_CATEGORY
rsd-0268c603-d9d9-479a-adac-7f8e32d6b4b3,cat-program-management,HAS_CATEGORY
rsd-02691b93-7d37-49b5-acff-472dc1d114eb,cat-team-leadership,HAS_CATEGORY
rsd-026b0cbc-a529-4bf2-89c4-371eef00c262,cat-environmental-remediation,HAS_CATEGORY
rsd-026bbf84-a08c-4174-bb2f-d1aa6a76a34e,cat-educational-evaluation,HAS_CATEGORY
rsd-026cd0fd-5855-423d-ab35-1fc9fef02f20,cat-technology-management,HAS_CATEGORY
rsd-027095bf-e6af-498b-9dd0-6daddff78fa7,cat-systems-architecture,HAS_CATEGORY
rsd-027ffb35-a6a9-4a18-8eec-14a5caa9c01b,cat-bank-examination,HAS_CATEGORY
rsd-028e12dc-f0e3-46ad-8e4d-3579ad54de8e,cat-cultural-sensitivity,HAS_CATEGORY
rsd-028e5450-84b6-40e0-aa01-0921614ba3dc,cat-management,HAS_CATEGORY
rsd-028eaf14-de14-479f-8e35-78e14a234d7e,cat-financial-reporting,HAS_CATEGORY
rsd-02963035-0519-4ea8-b71f-8cd84164c6cf,cat-market-analysis,HAS_CATEGORY
rsd-0296419a-b817-425c-874c-2e89a7d06af5,cat-care-coordination,HAS_CATEGORY
rsd-02a0f231-f7e3-4eb5-bf20-170b77bf6667,cat-employee-coaching,HAS_CATEGORY
