:START_ID,:END_ID,:TYPE
rsd-00135ef4-f36e-4160-889a-c0ef45471e19,kw-health-policies,HAS_KEYWORD
rsd-00135ef4-f36e-4160-889a-c0ef45471e19,kw-population-health,HAS_KEYWORD
rsd-00135ef4-f36e-4160-889a-c0ef45471e19,kw-population-health-management,HAS_KEYWORD
rsd-00135ef4-f36e-4160-889a-c0ef45471e19,kw-population-health-management-certificate-2021,HAS_KEYWORD
rsd-00135ef4-f36e-4160-889a-c0ef45471e19,kw-wgusid-3816-2,HAS_KEYWORD
rsd-0014bc7c-c1a5-4c09-bbe0-f51630e9bac2,kw-evidence-based-practice,HAS_KEYWORD
rsd-001cede6-9d9e-4315-885e-4c76fedb39ec,kw-systems-engineer,HAS_KEYWORD
rsd-001cede6-9d9e-4315-885e-4c76fedb39ec,kw-tcp-ip,HAS_KEYWORD
rsd-001cede6-9d9e-4315-885e-4c76fedb39ec,kw-wgu-se,HAS_KEYWORD
rsd-0023e5cb-6150-4021-b491-24b79e7c38e7,kw-analytical-skills,HAS_KEYWORD
rsd-0023e5cb-6150-4021-b491-24b79e7c38e7,kw-change-manager,HAS_KEYWORD
rsd-0023e5cb-6150-4021-b491-24b79e7c38e7,kw-influencer,HAS_KEYWORD
rsd-0023e5cb-6150-4021-b491-24b79e7c38e7,kw-transferrable-skills-across-occupations,HAS_KEYWORD
rsd-0023e5cb-6150-4021-b491-24b79e7c38e7,kw-transferrable-skills-for-leaders,HAS_KEYWORD
rsd-002f6581-d7c4-474e-8358-a378d26fa823,kw-microsoft-excel,HAS_KEYWORD
rsd-002f6581-d7c4-474e-8358-a378d26fa823,kw-spreadsheets,HAS_KEYWORD
rsd-004093a4-9e1b-492a-9d78-b7bef1e85409,kw-azure-portal,HAS_KEYWORD
rsd-004093a4-9e1b-492a-9d78-b7bef1e85409,kw-cloud-administration,HAS_KEYWORD
rsd-004093a4-9e1b-492a-9d78-b7bef1e85409,kw-cloud-computing,HAS_KEYWORD
rsd-004093a4-9e1b-492a-9d78-b7bef1e85409,kw-visual-studio,HAS_KEYWORD
rsd-004e9f70-0484-4808-a16b-bd32f2b15520,kw-complyalign,HAS_KEYWORD
rsd-004e9f70-0484-4808-a16b-bd32f2b15520,kw-doctract,HAS_KEYWORD
rsd-004e9f70-0484-4808-a16b-bd32f2b15520,kw-logicgate,HAS_KEYWORD
rsd-004e9f70-0484-4808-a16b-bd32f2b15520,kw-mycompliance,HAS_KEYWORD
rsd-004e9f70-0484-4808-a16b-bd32f2b15520,kw-public-policies,HAS_KEYWORD
rsd-004e9f70-0484-4808-a16b-bd32f2b15520,kw-public-policy,HAS_KEYWORD
rsd-004e9f70-0484-4808-a16b-bd32f2b15520,kw-wgusid-8574,HAS_KEYWORD
rsd-005a545a-ff4d-4d3e-a584-f12df957529c,kw-communication-technologies,HAS_KEYWORD
rsd-005a545a-ff4d-4d3e-a584-f12df957529c,kw-learners,HAS_KEYWORD
rsd-005a545a-ff4d-4d3e-a584-f12df957529c,kw-learning,HAS_KEYWORD
rsd-005a545a-ff4d-4d3e-a584-f12df957529c,kw-social-content,HAS_KEYWORD
rsd-005a545a-ff4d-4d3e-a584-f12df957529c,kw-social-media,HAS_KEYWORD
rsd-005a545a-ff4d-4d3e-a584-f12df957529c,kw-wgusid-4126,HAS_KEYWORD
rsd-0062b79a-c83c-40e2-a9da-290fb6f09647,kw-auditing,HAS_KEYWORD
rsd-0062b79a-c83c-40e2-a9da-290fb6f09647,kw-financial-auditing,HAS_KEYWORD
rsd-0062b79a-c83c-40e2-a9da-290fb6f09647,kw-lotus-notes,HAS_KEYWORD
rsd-0062b79a-c83c-40e2-a9da-290fb6f09647,kw-microsoft-office-suite,HAS_KEYWORD
rsd-0071be14-1f16-4d5d-961e-4d3fd2db1dc4,kw-intasc,HAS_KEYWORD
rsd-0071be14-1f16-4d5d-961e-4d3fd2db1dc4,kw-legal-knowledge,HAS_KEYWORD
rsd-0079b4fe-6f25-45e5-a6bd-db3e0c2345c8,kw-business-systems,HAS_KEYWORD
rsd-0079b4fe-6f25-45e5-a6bd-db3e0c2345c8,kw-systems-engineer,HAS_KEYWORD
rsd-007d0952-5c9c-4cc3-94b6-7f67b5f56bb6,kw-21st-century-skills,HAS_KEYWORD
rsd-007d0952-5c9c-4cc3-94b6-7f67b5f56bb6,kw-critical-thinking,HAS_KEYWORD
rsd-007d0952-5c9c-4cc3-94b6-7f67b5f56bb6,kw-decision-making,HAS_KEYWORD
rsd-007d0952-5c9c-4cc3-94b6-7f67b5f56bb6,kw-ge-framework,HAS_KEYWORD
rsd-007d0952-5c9c-4cc3-94b6-7f67b5f56bb6,kw-innovation,HAS_KEYWORD
rsd-007d0952-5c9c-4cc3-94b6-7f67b5f56bb6,kw-management,HAS_KEYWORD
rsd-007d0952-5c9c-4cc3-94b6-7f67b5f56bb6,kw-operations,HAS_KEYWORD
rsd-007d0952-5c9c-4cc3-94b6-7f67b5f56bb6,kw-problem-solving,HAS_KEYWORD
rsd-007d0952-5c9c-4cc3-94b6-7f67b5f56bb6,kw-systems-thinking,HAS_KEYWORD
rsd-007d0952-5c9c-4cc3-94b6-7f67b5f56bb6,kw-thinking,HAS_KEYWORD
rsd-007d0952-5c9c-4cc3-94b6-7f67b5f56bb6,kw-troubleshooting-problem-solving,HAS_KEYWORD
rsd-007d0952-5c9c-4cc3-94b6-7f67b5f56bb6,kw-wgusid-3517-1,HAS_KEYWORD
rsd-0082afb7-f930-41af-a97d-d92b59dcc2ee,kw-health-intervention,HAS_KEYWORD
rsd-0082afb7-f930-41af-a97d-d92b59dcc2ee,kw-wgusid-564,HAS_KEYWORD
